        f (GHz),              E_elec[1] (J),               E_mag[1] (J),               E_cap[1] (J),               E_ind[1] (J),              E_elec[2] (J),               E_mag[2] (J),               E_cap[2] (J),               E_ind[2] (J),              E_elec[3] (J),               E_mag[3] (J),               E_cap[3] (J),               E_ind[3] (J)
 1.26400000e+02,        +7.405593700724e-13,        +7.425372704000e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +7.571836700102e-13,        +8.829652773259e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +7.564146985182e-13,        +8.829397054410e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.28000000e+02,        +7.416593222404e-13,        +7.416771014148e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +7.619311212918e-13,        +8.767401961218e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +7.611581362411e-13,        +8.767126740033e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.29600000e+02,        +7.427423999308e-13,        +7.408182576688e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +7.666359382535e-13,        +8.706251951154e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +7.658589023534e-13,        +8.705955328183e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.31200000e+02,        +7.438079654850e-13,        +7.399608888510e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +7.712975853529e-13,        +8.646210873605e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +7.705164637575e-13,        +8.645890941856e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.32800000e+02,        +7.448553928593e-13,        +7.391051483170e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +7.759155729284e-13,        +8.587286330135e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +7.751303331920e-13,        +8.586941176690e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.34400000e+02,        +7.458840681396e-13,        +7.382511928999e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +7.804894550833e-13,        +8.529485428414e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +7.797000671131e-13,        +8.529113136030e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.36000000e+02,        +7.468933900496e-13,        +7.373991827242e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +7.850188276116e-13,        +8.472814817248e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +7.842252636158e-13,        +8.472413465946e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.37600000e+02,        +7.478827704507e-13,        +7.365492810229e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +7.895033259698e-13,        +8.417280721555e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +7.887055604042e-13,        +8.416848390201e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.39200000e+02,        +7.488516348342e-13,        +7.357016539561e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +7.939426233007e-13,        +8.362888977298e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +7.931406328115e-13,        +8.362423745159e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.40800000e+02,        +7.497994228033e-13,        +7.348564704331e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +7.983364285136e-13,        +8.309645066390e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +7.975301918794e-13,        +8.309145014669e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.42400000e+02,        +7.507255885453e-13,        +7.340139019359e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.026844844277e-13,        +8.257554151592e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.018739824996e-13,        +8.257017364932e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.44000000e+02,        +7.516296012939e-13,        +7.331741223452e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.069865659829e-13,        +8.206621111439e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.061717816237e-13,        +8.206045679398e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.45600000e+02,        +7.525109457798e-13,        +7.323373077684e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.112424785252e-13,        +8.156850575235e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.104233965493e-13,        +8.156234593722e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.47200000e+02,        +7.533691226698e-13,        +7.315036363705e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.154520561730e-13,        +8.108246958174e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.146286632854e-13,        +8.107588530839e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.48800000e+02,        +7.542036489943e-13,        +7.306732882062e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.196151602688e-13,        +8.060814496644e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.187874450066e-13,        +8.060111736224e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.50400000e+02,        +7.550140585623e-13,        +7.298464450554e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.237316779259e-13,        +8.014557283784e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.228996306015e-13,        +8.013808313395e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.52000000e+02,        +7.557999023641e-13,        +7.290232902605e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.278015206757e-13,        +7.969479305381e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.269651333227e-13,        +7.968682259757e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.53600000e+02,        +7.565607489615e-13,        +7.282040085665e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.318246232232e-13,        +7.925584476189e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.309838895463e-13,        +7.924737502867e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.55200000e+02,        +7.572961848658e-13,        +7.273887859632e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.358009423203e-13,        +7.882876676773e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.349558576498e-13,        +7.881977937226e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.56800000e+02,        +7.580058149028e-13,        +7.265778095297e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.397304557626e-13,        +7.841359790972e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.388810170150e-13,        +7.840407461697e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.58400000e+02,        +7.586892625660e-13,        +7.257712672797e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.436131615225e-13,        +7.801037744094e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.427593671666e-13,        +7.800030017670e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.60000000e+02,        +7.593461703568e-13,        +7.249693480083e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.474490770237e-13,        +7.761914541942e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.465909270545e-13,        +7.760849628075e-13,        +0.000000000000e+00,        +0.000000000000e+00
