        f (GHz),              E_elec[1] (J),               E_mag[1] (J),               E_cap[1] (J),               E_ind[1] (J),              E_elec[2] (J),               E_mag[2] (J),               E_cap[2] (J),               E_ind[2] (J),              E_elec[3] (J),               E_mag[3] (J),               E_cap[3] (J),               E_ind[3] (J),              E_elec[4] (J),               E_mag[4] (J),               E_cap[4] (J),               E_ind[4] (J)
 1.20000000e+02,        +1.016834899082e-12,        +1.431629041674e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.017249782353e-12,        +1.431672349545e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.017284149840e-12,        +1.432250362800e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.016966352510e-12,        +1.432270737930e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.21600000e+02,        +1.039389178683e-12,        +1.447885849180e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.039819340599e-12,        +1.447950252470e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.039865142423e-12,        +1.448537683117e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.039536517802e-12,        +1.448537454394e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.23200000e+02,        +1.062789861204e-12,        +1.464094630901e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.063235640867e-12,        +1.464180185915e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.063293516388e-12,        +1.464776795140e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.062953820141e-12,        +1.464755820115e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.24800000e+02,        +1.086997792954e-12,        +1.480198015274e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.087459477889e-12,        +1.480304676018e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.087530066608e-12,        +1.480910176847e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.087179074997e-12,        +1.480868393715e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.26400000e+02,        +1.111965058938e-12,        +1.496133768419e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.112442875297e-12,        +1.496261375468e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.112526811958e-12,        +1.496875430456e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.112164327205e-12,        +1.496812864937e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.28000000e+02,        +1.137634505161e-12,        +1.511834989218e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.138128607393e-12,        +1.511983259148e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.138226516376e-12,        +1.512605478001e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.137852372438e-12,        +1.512522250410e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.29600000e+02,        +1.163939377862e-12,        +1.527230429516e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.164449837983e-12,        +1.527398945057e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.164562327014e-12,        +1.528028882380e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.164176395662e-12,        +1.527925214630e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.31200000e+02,        +1.190803111302e-12,        +1.542244951241e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.191329907944e-12,        +1.542433152394e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.191457561178e-12,        +1.543070305746e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.191059758295e-12,        +1.542946528000e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.32800000e+02,        +1.218139295658e-12,        +1.556800128693e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.218682303145e-12,        +1.557007305083e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.218825673686e-12,        +1.557651113512e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.218415965650e-12,        +1.557507670217e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.34400000e+02,        +1.245851854643e-12,        +1.570814999339e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.246410832372e-12,        +1.571040284110e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.246570434339e-12,        +1.571690127328e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.246148844363e-12,        +1.571527582362e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.36000000e+02,        +1.273835458332e-12,        +1.584206960237e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.274410040801e-12,        +1.584449325828e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.274586341061e-12,        +1.585104524178e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.274152955315e-12,        +1.584923564836e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.37600000e+02,        +1.301976190076e-12,        +1.596892799889e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.302565877920e-12,        +1.597151056012e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.302759287662e-12,        +1.597810871358e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.302314261012e-12,        +1.597612310939e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.39200000e+02,        +1.330152477299e-12,        +1.608789847099e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.330756629746e-12,        +1.609062641234e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.330967496071e-12,        +1.609726278889e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.330511057219e-12,        +1.609511057637e-12,        +0.000000000000e+00,        +0.000000000000e+00
