        f (GHz),             |S[1][1]| (dB),        arg(S[1][1]) (deg.),             |S[2][1]| (dB),        arg(S[2][1]) (deg.),             |S[3][1]| (dB),        arg(S[3][1]) (deg.),             |S[4][1]| (dB),        arg(S[4][1]) (deg.),             |S[1][2]| (dB),        arg(S[1][2]) (deg.),             |S[2][2]| (dB),        arg(S[2][2]) (deg.),             |S[3][2]| (dB),        arg(S[3][2]) (deg.),             |S[4][2]| (dB),        arg(S[4][2]) (deg.),             |S[1][3]| (dB),        arg(S[1][3]) (deg.),             |S[2][3]| (dB),        arg(S[2][3]) (deg.),             |S[3][3]| (dB),        arg(S[3][3]) (deg.),             |S[4][3]| (dB),        arg(S[4][3]) (deg.),             |S[1][4]| (dB),        arg(S[1][4]) (deg.),             |S[2][4]| (dB),        arg(S[2][4]) (deg.),             |S[3][4]| (dB),        arg(S[3][4]) (deg.),             |S[4][4]| (dB),        arg(S[4][4]) (deg.)
 1.23200000e+02,        -7.347075300806e+00,        +1.243325479367e+02,        -7.021445137769e+00,        -6.277915341091e+01,        -4.167606439820e+00,        -1.258731201318e+02,        -9.253264134862e+00,        -9.725553909832e+01,        -7.021445137769e+00,        -6.277915341091e+01,        -7.350873913076e+00,        +1.243624422159e+02,        -9.248312949226e+00,        -9.724937496233e+01,        -4.167423747536e+00,        -1.258738839380e+02,        -4.167606439820e+00,        -1.258731201318e+02,        -9.248312949226e+00,        -9.724937496233e+01,        -7.346462596513e+00,        +1.243041853379e+02,        -7.025603228510e+00,        -6.274504677259e+01,        -9.253264134863e+00,        -9.725553909832e+01,        -4.167423747536e+00,        -1.258738839380e+02,        -7.025603228510e+00,        -6.274504677259e+01,        -7.343601548862e+00,        +1.242743824039e+02
 1.24800000e+02,        -7.551797213892e+00,        +1.226510128291e+02,        -6.934047297413e+00,        -6.340103225162e+01,        -4.099138202989e+00,        -1.278448222062e+02,        -9.383694290131e+00,        -9.871845835385e+01,        -6.934047297413e+00,        -6.340103225162e+01,        -7.555837583016e+00,        +1.226802444103e+02,        -9.378588832510e+00,        -9.871363468829e+01,        -4.098955275669e+00,        -1.278456551793e+02,        -4.099138202989e+00,        -1.278448222062e+02,        -9.378588832510e+00,        -9.871363468829e+01,        -7.551210663694e+00,        +1.226193582553e+02,        -6.938123012780e+00,        -6.336555864426e+01,        -9.383694290131e+00,        -9.871845835385e+01,        -4.098955275669e+00,        -1.278456551793e+02,        -6.938123012780e+00,        -6.336555864426e+01,        -7.548188514418e+00,        +1.225901054890e+02
 1.26400000e+02,        -7.771965241780e+00,        +1.209295889150e+02,        -6.841660398965e+00,        -6.405825325552e+01,        -4.031382092176e+00,        -1.298395347714e+02,        -9.523807427401e+00,        -1.001858595343e+02,        -6.841660398965e+00,        -6.405825325552e+01,        -7.776268448144e+00,        +1.209580470531e+02,        -9.518543615330e+00,        -1.001825077215e+02,        -4.031199414031e+00,        -1.298404393534e+02,        -4.031382092176e+00,        -1.298395347714e+02,        -9.518543615331e+00,        -1.001825077215e+02,        -7.771408073306e+00,        +1.208943456949e+02,        -6.845642964802e+00,        -6.402145441191e+01,        -9.523807427401e+00,        -1.001858595343e+02,        -4.031199414031e+00,        -1.298404393534e+02,        -6.845642964802e+00,        -6.402145441191e+01,        -7.768211669121e+00,        +1.208657472529e+02
 1.28000000e+02,        -8.008752829756e+00,        +1.191668796004e+02,        -6.744627272821e+00,        -6.475431259524e+01,        -3.964557538930e+00,        -1.318573008670e+02,        -9.674449607427e+00,        -1.016545859142e+02,        -6.744627272821e+00,        -6.475431259524e+01,        -8.013342375989e+00,        +1.191944401491e+02,        -9.669023448026e+00,        -1.016528517695e+02,        -3.964375630935e+00,        -1.318582794316e+02,        -3.964557538930e+00,        -1.318573008670e+02,        -9.669023448026e+00,        -1.016528517695e+02,        -8.008228295593e+00,        +1.191277168033e+02,        -6.748506645479e+00,        -6.471623692889e+01,        -9.674449607427e+00,        -1.016545859142e+02,        -3.964375630935e+00,        -1.318582794316e+02,        -6.748506645479e+00,        -6.471623692889e+01,        -8.004843020189e+00,        +1.190998897357e+02
 1.29600000e+02,        -8.263451657024e+00,        +1.173613079702e+02,        -6.643352905712e+00,        -6.549255631653e+01,        -3.898889184192e+00,        -1.338980461806e+02,        -9.836518195857e+00,        -1.031207895165e+02,        -6.643352905712e+00,        -6.549255631653e+01,        -8.268353823791e+00,        +1.173878309644e+02,        -9.830925897250e+00,        -1.031208354547e+02,        -3.898708605970e+00,        -1.338991010107e+02,        -3.898889184192e+00,        -1.338980461806e+02,        -9.830925897250e+00,        -1.031208354547e+02,        -8.262962931947e+00,        +1.173178548373e+02,        -6.647119899098e+00,        -6.545325826187e+01,        -9.836518195857e+00,        -1.031207895165e+02,        -3.898708605970e+00,        -1.338991010107e+02,        -6.647119899098e+00,        -6.545325826187e+01,        -8.259372501830e+00,        +1.172909313830e+02
 1.31200000e+02,        -8.537488765281e+00,        +1.155110564693e+02,        -6.538302877966e+00,        -6.627612581971e+01,        -3.834605093376e+00,        -1.359615712552e+02,        -1.001096106621e+01,        -1.045798213571e+02,        -6.538302877966e+00,        -6.627612581971e+01,        -8.542733033285e+00,        +1.155363831111e+02,        -1.000519919248e+01,        -1.045818289282e+02,        -3.834426444804e+00,        -1.359627045177e+02,        -3.834605093376e+00,        -1.359615712552e+02,        -1.000519919248e+01,        -1.045818289282e+02,        -8.537038795210e+00,        +1.154628956365e+02,        -6.541949274164e+00,        -6.623566504725e+01,        -1.001096106621e+01,        -1.045798213571e+02,        -3.834426444804e+00,        -1.359627045177e+02,        -6.541949274164e+00,        -6.623566504725e+01,        -8.533225020185e+00,        +1.154370260601e+02
 1.32800000e+02,        -8.832447535480e+00,        +1.136139864005e+02,        -6.430000538679e+00,        -6.710790413200e+01,        -3.771934713480e+00,        -1.380475449910e+02,        -1.019877457319e+01,        -1.060261039340e+02,        -6.430000538679e+00,        -6.710790413200e+01,        -8.838067089026e+00,        +1.136379352676e+02,        -1.019284025797e+01,        -1.060302767905e+02,        -3.771758635945e+00,        -1.380487587078e+02,        -3.771934713480e+00,        -1.380475449910e+02,        -1.019284025797e+01,        -1.060302767905e+02,        -8.832038818278e+00,        +1.135606455848e+02,        -6.433519178946e+00,        -6.706634465994e+01,        -1.019877457319e+01,        -1.060261039340e+02,        -3.771758635945e+00,        -1.380487587078e+02,        -6.433519178946e+00,        -6.706634465994e+01,        -8.827981319567e+00,        +1.135360017136e+02
 1.34400000e+02,        -9.150093621779e+00,        +1.116675306545e+02,        -6.319022933686e+00,        -6.799046442917e+01,        -3.711106590092e+00,        -1.401554998236e+02,        -1.040099983928e+01,        -1.074529825123e+02,        -6.319022933686e+00,        -6.799046442917e+01,        -9.156125953310e+00,        +1.116898928786e+02,        -1.039489107862e+01,        -1.074595498782e+02,        -3.710933767304e+00,        -1.401567958405e+02,        -3.711106590093e+00,        -1.401554998236e+02,        -1.039489107862e+01,        -1.074595498782e+02,        -9.149727891219e+00,        +1.116084723652e+02,        -6.322407787406e+00,        -6.794787365683e+01,        -1.040099983928e+01,        -1.074529825123e+02,        -3.710933767304e+00,        -1.401567958405e+02,        -6.322407787406e+00,        -6.794787365683e+01,        -9.145403768788e+00,        +1.115852520427e+02
 1.36000000e+02,        -9.492407305098e+00,        +1.096685506359e+02,        -6.205995544897e+00,        -6.892602223825e+01,        -3.652345875359e+00,        -1.422848289644e+02,        -1.061871671330e+01,        -1.088525510038e+02,        -6.205995544897e+00,        -6.892602223825e+01,        -9.498894945516e+00,        +1.096890837087e+02,        -1.061243276536e+01,        -1.088617717183e+02,        -3.652177033653e+00,        -1.422862089167e+02,        -3.652345875359e+00,        -1.422848289644e+02,        -1.061243276536e+01,        -1.088617717183e+02,        -9.492085076181e+00,        +1.096031593272e+02,        -6.209241754954e+00,        -6.888246992918e+01,        -1.061871671330e+01,        -1.088525510038e+02,        -3.652177033653e+00,        -1.422862089167e+02,        -6.209241754954e+00,        -6.888246992918e+01,        -9.487468515270e+00,        +1.095815920775e+02
 1.37600000e+02,        -9.861624205343e+00,        +1.076131447891e+02,        -6.091585941704e+00,        -6.991639266372e+01,        -3.595871672457e+00,        -1.444347860726e+02,        -1.085303449251e+01,        -1.102154473781e+02,        -6.091585941704e+00,        -6.991639266372e+01,        -9.868615611691e+00,        +1.076315645083e+02,        -1.084657642204e+01,        -1.102276145872e+02,        -3.595707580483e+00,        -1.444362513489e+02,        -3.595871672458e+00,        -1.444347860726e+02,        -1.084657642204e+01,        -1.102276145872e+02,        -9.861344119091e+00,        +1.075407106590e+02,        -6.094689845642e+00,        -6.987194990746e+01,        -1.085303449251e+01,        -1.102154473781e+02,        -3.595707580483e+00,        -1.444362513489e+02,        -6.094689845642e+00,        -6.987194990746e+01,        -9.856405924369e+00,        +1.075210649736e+02
