        f (GHz),              E_elec[1] (J),               E_mag[1] (J),               E_cap[1] (J),               E_ind[1] (J),              E_elec[2] (J),               E_mag[2] (J),               E_cap[2] (J),               E_ind[2] (J),              E_elec[3] (J),               E_mag[3] (J),               E_cap[3] (J),               E_ind[3] (J),              E_elec[4] (J),               E_mag[4] (J),               E_cap[4] (J),               E_ind[4] (J)
 1.28000000e+02,        +1.137634456077e-12,        +1.511834982815e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.138128537974e-12,        +1.511983216627e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.138226644272e-12,        +1.512605636001e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.137852334298e-12,        +1.512522186078e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.29600000e+02,        +1.163939351468e-12,        +1.527230441326e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.164449773621e-12,        +1.527398904597e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.164562453702e-12,        +1.528029033068e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.164176367727e-12,        +1.527925154658e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.31200000e+02,        +1.190803109746e-12,        +1.542244983898e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.191329849282e-12,        +1.542433114679e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.191457686957e-12,        +1.543070449796e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.191059740674e-12,        +1.542946472548e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.32800000e+02,        +1.218139321273e-12,        +1.556800185069e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.218682250973e-12,        +1.557007270828e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.218825799047e-12,        +1.557651251670e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.218415958719e-12,        +1.557507619541e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.34400000e+02,        +1.245851909955e-12,        +1.570815082567e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.246410787634e-12,        +1.571040254100e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.246570559960e-12,        +1.571690260429e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.246148848750e-12,        +1.571527536838e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.36000000e+02,        +1.273835546060e-12,        +1.584207073738e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.274410004589e-12,        +1.584449300946e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.274586467801e-12,        +1.585104653155e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.274152971889e-12,        +1.584923524978e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.37600000e+02,        +1.301976313128e-12,        +1.596892947392e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.302565851473e-12,        +1.597151037261e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.302759416557e-12,        +1.597810997256e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.302314290864e-12,        +1.597612277402e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.39200000e+02,        +1.330152638756e-12,        +1.608790032654e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.330756614438e-12,        +1.609062629758e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.330967628321e-12,        +1.609726402875e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.330511101649e-12,        +1.609511031221e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.40800000e+02,        +1.358236487618e-12,        +1.619817437854e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.358854110984e-12,        +1.620103027634e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.359082848379e-12,        +1.620769765694e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.358615227746e-12,        +1.620538808189e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.42400000e+02,        +1.386094801698e-12,        +1.629897344162e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.386725132425e-12,        +1.630194259211e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.386971788148e-12,        +1.630863064761e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.386493462125e-12,        +1.630617710529e-12,        +0.000000000000e+00,        +0.000000000000e+00
