       frequency          s11_db          s12_db          s21_db          s22_db         s11_deg         s12_deg         s21_deg         s22_deg
  1.29990010e+11 -6.40988284e-01 -4.13328959e+01 -4.13328959e+01 -6.45911762e-01 -1.70473600e+02 -1.04716496e+02 -1.04716496e+02 -1.75812077e+02
  1.30069930e+11 -6.43281776e-01 -4.12555924e+01 -4.12555924e+01 -6.48173614e-01 -1.70579465e+02 -1.04919337e+02 -1.04919337e+02 -1.75922057e+02
  1.30149850e+11 -6.45593986e-01 -4.11779294e+01 -4.11779294e+01 -6.50453761e-01 -1.70685603e+02 -1.05123005e+02 -1.05123005e+02 -1.76032307e+02
  1.30229770e+11 -6.47925173e-01 -4.10999054e+01 -4.10999053e+01 -6.52752457e-01 -1.70792019e+02 -1.05327511e+02 -1.05327511e+02 -1.76142829e+02
  1.30309690e+11 -6.50275601e-01 -4.10215188e+01 -4.10215188e+01 -6.55069959e-01 -1.70898713e+02 -1.05532862e+02 -1.05532863e+02 -1.76253624e+02
  1.30389610e+11 -6.52645537e-01 -4.09427684e+01 -4.09427683e+01 -6.57406527e-01 -1.71005689e+02 -1.05739069e+02 -1.05739069e+02 -1.76364696e+02
  1.30469530e+11 -6.55035255e-01 -4.08636524e+01 -4.08636524e+01 -6.59762431e-01 -1.71112949e+02 -1.05946140e+02 -1.05946140e+02 -1.76476047e+02
  1.30549451e+11 -6.57445033e-01 -4.07841696e+01 -4.07841695e+01 -6.62137940e-01 -1.71220496e+02 -1.06154084e+02 -1.06154084e+02 -1.76587680e+02
  1.30629371e+11 -6.59875156e-01 -4.07043182e+01 -4.07043181e+01 -6.64533333e-01 -1.71328332e+02 -1.06362912e+02 -1.06362912e+02 -1.76699597e+02
  1.30709291e+11 -6.62325914e-01 -4.06240968e+01 -4.06240968e+01 -6.66948892e-01 -1.71436460e+02 -1.06572632e+02 -1.06572632e+02 -1.76811800e+02
  1.30789211e+11 -6.64797601e-01 -4.05435038e+01 -4.05435038e+01 -6.69384906e-01 -1.71544883e+02 -1.06783256e+02 -1.06783256e+02 -1.76924293e+02
  1.30869131e+11 -6.67290519e-01 -4.04625377e+01 -4.04625377e+01 -6.71841669e-01 -1.71653604e+02 -1.06994792e+02 -1.06994792e+02 -1.77037078e+02
