 time            vref1           vref2           vref3           vref4           vout1           vout2           vout3           vout4          
 3.33846113e-11  7.36842435e-01  7.36861640e-01  7.36834274e-01  7.36848437e-01  7.30232487e-01  7.30253071e-01  7.30253854e-01  7.30261291e-01 
 3.39044067e-11  7.36847452e-01  7.36867100e-01  7.36833328e-01  7.36853794e-01  7.30223296e-01  7.30257029e-01  7.30246299e-01  7.30254888e-01 
 3.44969673e-11  7.36854646e-01  7.36871396e-01  7.36834032e-01  7.36861338e-01  7.30217021e-01  7.30263290e-01  7.30233215e-01  7.30251989e-01 
 3.51928948e-11  7.36863005e-01  7.36872916e-01  7.36838318e-01  7.36869815e-01  7.30216325e-01  7.30269240e-01  7.30216284e-01  7.30254525e-01 
 3.57798718e-11  7.36868442e-01  7.36871477e-01  7.36844906e-01  7.36874792e-01  7.30220158e-01  7.30270546e-01  7.30204683e-01  7.30259838e-01 
 3.62657988e-11  7.36870919e-01  7.36869430e-01  7.36851852e-01  7.36876783e-01  7.30224742e-01  7.30268073e-01  7.30199109e-01  7.30264661e-01 
 3.67316342e-11  7.36871303e-01  7.36867659e-01  7.36858780e-01  7.36876848e-01  7.30228654e-01  7.30262584e-01  7.30198050e-01  7.30268064e-01 
 3.72290394e-11  7.36870014e-01  7.36866684e-01  7.36865266e-01  7.36875240e-01  7.30230683e-01  7.30254138e-01  7.30201090e-01  7.30268920e-01 
 3.78430711e-11  7.36867370e-01  7.36867830e-01  7.36870607e-01  7.36872176e-01  7.30228590e-01  7.30242664e-01  7.30208111e-01  7.30264928e-01 
 3.85580502e-11  7.36865073e-01  7.36872916e-01  7.36872472e-01  7.36869867e-01  7.30219787e-01  7.30232546e-01  7.30215580e-01  7.30254381e-01 
 3.91985299e-11  7.36865425e-01  7.36879691e-01  7.36870863e-01  7.36870865e-01  7.30208238e-01  7.30229299e-01  7.30217657e-01  7.30242663e-01 
 3.96895457e-11  7.36867928e-01  7.36884878e-01  7.36868518e-01  7.36873920e-01  7.30199015e-01  7.30230954e-01  7.30214730e-01  7.30234492e-01 
 4.01796771e-11  7.36872323e-01  7.36888980e-01  7.36866462e-01  7.36878620e-01  7.30191447e-01  7.30235485e-01  7.30207506e-01  7.30228958e-01 
 4.06900351e-11  7.36878043e-01  7.36891631e-01  7.36865723e-01  7.36884570e-01  7.30186787e-01  7.30241693e-01  7.30196285e-01  7.30227203e-01 
 4.13262468e-11  7.36884878e-01  7.36892238e-01  7.36867749e-01  7.36891615e-01  7.30186101e-01  7.30248398e-01  7.30180221e-01  7.30230485e-01 
 4.20998845e-11  7.36890169e-01  7.36889577e-01  7.36874453e-01  7.36896562e-01  7.30190292e-01  7.30250590e-01  7.30164082e-01  7.30238545e-01 
 4.26623939e-11  7.36891148e-01  7.36886484e-01  7.36881288e-01  7.36896794e-01  7.30194295e-01  7.30246662e-01  7.30157592e-01  7.30244069e-01 
 4.31380132e-11  7.36889929e-01  7.36884395e-01  7.36887139e-01  7.36895103e-01  7.30196498e-01  7.30239757e-01  7.30156416e-01  7.30246584e-01 
 4.36370663e-11  7.36887319e-01  7.36883320e-01  7.36892023e-01  7.36892066e-01  7.30196234e-01  7.30229947e-01  7.30158873e-01  7.30245667e-01 
