 time            v1              v2              v3              v4             
 3.72800000e-12 -6.97500813e-02  1.05252311e+00  1.04866750e+00  8.85202439e-01 
 3.82800000e-12 -1.49352488e-01  1.00714369e+00  1.10117313e+00  8.51010358e-01 
 3.92800000e-12 -2.22397755e-01  9.57311463e-01  1.14963996e+00  8.15232049e-01 
 4.02800000e-12 -2.88148274e-01  9.03690918e-01  1.19311385e+00  7.78467509e-01 
 4.12800000e-12 -3.45940099e-01  8.46968668e-01  1.23072541e+00  7.41288106e-01 
 4.22800000e-12 -3.95189649e-01  7.87841329e-01  1.26170691e+00  7.04225428e-01 
 4.32800000e-12 -4.35399604e-01  7.27004437e-01  1.28540622e+00  6.67762154e-01 
 4.42800000e-12 -4.66163927e-01  6.65142532e-01  1.30129775e+00  6.32325047e-01 
 4.52800000e-12 -4.87171958e-01  6.02920551e-01  1.30899015e+00  5.98280103e-01 
 4.62800000e-12 -4.98211561e-01  5.40976546e-01  1.30823084e+00  5.65929842e-01 
 4.72800000e-12 -4.99171257e-01  4.79915761e-01  1.29890741e+00  5.35512618e-01 
 4.82800000e-12 -4.90041356e-01  4.20306013e-01  1.28104602e+00  5.07203820e-01 
 4.92800000e-12 -4.70914051e-01  3.62674315e-01  1.25480707e+00  4.81118764e-01 
 5.02800000e-12 -4.41982489e-01  3.07504620e-01  1.22047835e+00  4.57317031e-01 
 5.12800000e-12 -4.03538819e-01  2.55236588e-01  1.17846605e+00  4.35808010e-01 
 5.22800000e-12 -3.55971246e-01  2.06265197e-01  1.12928383e+00  4.16557362e-01 
 5.32800000e-12 -2.99760103e-01  1.60941065e-01  1.07354055e+00  3.99494118e-01 
 5.42800000e-12 -2.35473011e-01  1.19571316e-01  1.01192679e+00  3.84518136e-01 
 5.52800000e-12 -1.63759136e-01  8.24208407e-02  9.45200712e-01  3.71507650e-01 
 5.62800000e-12 -8.53426450e-02  4.97137837e-02  8.74173505e-01  3.60326652e-01 
 5.72800000e-12 -1.01538351e-03  2.16351499e-02  7.99694820e-01  3.50831880e-01 
 5.82800000e-12  8.83711143e-02 -1.66761237e-03  7.22638473e-01  3.42879223e-01 
 5.92800000e-12  1.81914227e-01 -2.00831387e-02  6.43888694e-01  3.36329369e-01 
 6.02800000e-12  2.78669358e-01 -3.35348661e-02  5.64327163e-01  3.31052577e-01 
 6.12800000e-12  3.77659479e-01 -4.19799926e-02  4.84821030e-01  3.26932483e-01 
 6.22800000e-12  4.77884991e-01 -4.54087089e-02  4.06212049e-01  3.23868882e-01 
 6.32800000e-12  5.78333819e-01 -4.38437085e-02  3.29306965e-01  3.21779493e-01 
 6.42800000e-12  6.77991635e-01 -3.73399577e-02  2.54869185e-01  3.20600701e-01 
 6.52800000e-12  7.75852097e-01 -2.59846938e-02  1.83611781e-01  3.20287355e-01 
 6.62800000e-12  8.70927014e-01 -9.89759503e-03  1.16191796e-01  3.20811686e-01 
 6.72800000e-12  9.62256323e-01  1.07689421e-02  5.32058294e-02  3.22161463e-01 
 6.82800000e-12  1.04891778e+00  3.58294957e-02 -4.81319628e-03  3.24337503e-01 
 6.92800000e-12  1.13003629e+00  6.50653660e-02 -5.73981592e-02  3.27350672e-01 
 7.02800000e-12  1.20479271e+00  9.82244625e-02 -1.04148873e-01  3.31218532e-01 
 7.12800000e-12  1.27243216e+00  1.35021418e-01 -1.44732355e-01  3.35961772e-01 
 7.22800000e-12  1.33227162e+00  1.75138010e-01 -1.78882346e-01  3.41600571e-01 
 7.32800000e-12  1.38370682e+00  2.18223964e-01 -2.06398220e-01  3.48151045e-01 
 7.42800000e-12  1.42621838e+00  2.63898201e-01 -2.27143406e-01  3.55621887e-01 
 7.52800000e-12  1.45937703e+00  3.11750581e-01 -2.41043422e-01  3.64011343e-01 
 7.62800000e-12  1.48284791e+00  3.61344179e-01 -2.48083656e-01  3.73304597e-01 
 7.72800000e-12  1.49639403e+00  4.12218107e-01 -2.48306953e-01  3.83471660e-01 
 7.82800000e-12  1.49987860e+00  4.63890899e-01 -2.41811105e-01  3.94465828e-01 
 7.92800000e-12  1.49326643e+00  5.15864422e-01 -2.28746289e-01  4.06222730e-01 
 8.02800000e-12  1.47662428e+00  5.67628309e-01 -2.09312504e-01  4.18660004e-01 
 8.12800000e-12  1.45012022e+00  6.18664842e-01 -1.83757023e-01  4.31677589e-01 
 8.22800000e-12  1.41402187e+00  6.68454239e-01 -1.52371875e-01  4.45158608e-01 
 8.32800000e-12  1.36869377e+00  7.16480261e-01 -1.15491337e-01  4.58970821e-01 
 8.42800000e-12  1.31459362e+00  7.62236057e-01 -7.34894437e-02  4.72968565e-01 
 8.52800000e-12  1.25226774e+00  8.05230155e-01 -2.67774538e-02  4.86995152e-01 
 8.62800000e-12  1.18234548e+00  8.44992482e-01  2.41987370e-02  5.00885607e-01 
 8.72800000e-12  1.10553292e+00  8.81080333e-01  7.89612908e-02  5.14469698e-01 
 8.82800000e-12  1.02260571e+00  9.13084157e-01  1.37003269e-01  5.27575143e-01 
 8.92800000e-12  9.34401240e-01  9.40633076e-01  1.97791660e-01  5.40030918e-01 
 9.02800000e-12  8.41810205e-01  9.63400017e-01  2.60770638e-01  5.51670570e-01 
 9.12800000e-12  7.45767583e-01  9.81106386e-01  3.25365075e-01  5.62335447e-01 
 9.22800000e-12  6.47243207e-01  9.93526170e-01  3.90984338e-01  5.71877773e-01 
 9.32800000e-12  5.47231975e-01  1.00048941e+00  4.57026389e-01  5.80163487e-01 
 9.42800000e-12  4.46743795e-01  1.00188499e+00  5.22882176e-01  5.87074783e-01 
 9.52800000e-12  3.46793395e-01  9.97662655e-01  5.87940330e-01  5.92512303e-01 
 9.62800000e-12  2.48390070e-01  9.87834232e-01  6.51592125e-01  5.96396935e-01 
 9.72800000e-12  1.52527494e-01  9.72474092e-01  7.13236686e-01  5.98671190e-01 
 9.82800000e-12  6.01736831e-02  9.51718734e-01  7.72286393e-01  5.99300139e-01 
 9.92800000e-12 -2.77387765e-02  9.25765581e-01  8.28172419e-01  5.98271906e-01 
 1.00280000e-11 -1.10322148e-01  8.94870977e-01  8.80350362e-01  5.95597710e-01 
 1.01280000e-11 -1.86742507e-01  8.59347413e-01  9.28305858e-01  5.91311495e-01 
 1.02280000e-11 -2.56228163e-01  8.19560035e-01  9.71560143e-01  5.85469146e-01 
 1.03280000e-11 -3.18077454e-01  7.75922488e-01  1.00967543e+00  5.78147337e-01 
 1.04280000e-11 -3.71665826e-01  7.28892148e-01  1.04226008e+00  5.69442059e-01 
 1.05280000e-11 -4.16452146e-01  6.78964832e-01  1.06897336e+00  5.59466846e-01 
 1.06280000e-11 -4.51984163e-01  6.26669051e-01  1.08952990e+00  5.48350781e-01 
 1.07280000e-11 -4.77903076e-01  5.72559889e-01  1.10370354e+00  5.36236298e-01 
 1.08280000e-11 -4.93947158e-01  5.17212608e-01  1.11133066e+00  5.23276863e-01 
 1.09280000e-11 -4.99954395e-01  4.61216050e-01  1.11231288e+00  5.09634563e-01 
 1.10280000e-11 -4.95864126e-01  4.05165931e-01  1.10661900e+00  4.95477656e-01 
 1.11280000e-11 -4.81717656e-01  3.49658121e-01  1.09428623e+00  4.80978139e-01 
 1.12280000e-11 -4.57657833e-01  2.95281981e-01  1.07542065e+00  4.66309366e-01 
 1.13280000e-11 -4.23927615e-01  2.42613846e-01  1.05019684e+00  4.51643751e-01 
 1.14280000e-11 -3.80867606e-01  1.92210730e-01  1.01885666e+00  4.37150605e-01 
 1.15280000e-11 -3.28912627e-01  1.44604322e-01  9.81707300e-01  4.22994114e-01 
 1.16280000e-11 -2.68587316e-01  1.00295329e-01  9.39118411e-01  4.09331495e-01 
 1.17280000e-11 -2.00500836e-01  5.97482430e-02  8.91518574e-01  3.96311341e-01 
 1.18280000e-11 -1.25340723e-01  2.33865621e-02  8.39390971e-01  3.84072169e-01 
 1.19280000e-11 -4.38659406e-02 -8.41148078e-03  7.83268392e-01  3.72741165e-01 
 1.20280000e-11  4.31007819e-02 -3.53166477e-02  7.23727631e-01  3.62433145e-01 
 1.21280000e-11  1.34681257e-01 -5.70518560e-02  6.61383328e-01  3.53249721e-01 
 1.22280000e-11  2.29950709e-01 -7.33947487e-02  5.96881348e-01  3.45278655e-01 
 1.23280000e-11  3.27947109e-01 -8.41796608e-02  5.30891772e-01  3.38593414e-01 
 1.24280000e-11  4.27680893e-01 -8.92989739e-02  4.64101601e-01  3.33252890e-01 
 1.25280000e-11  5.28144953e-01 -8.87038580e-02  3.97207260e-01  3.29301289e-01 
 1.26280000e-11  6.28324806e-01 -8.24044070e-02  3.30906990e-01  3.26768170e-01 
 1.27280000e-11  7.27208840e-01 -7.04691771e-02  2.65893241e-01  3.25668608e-01 
 1.28280000e-11  8.23798527e-01 -5.30241445e-02  2.02845139e-01  3.26003487e-01 
 1.29280000e-11  9.17118507e-01 -3.02511032e-02  1.42421128e-01  3.27759885e-01 
 1.30280000e-11  1.00622644e+00 -2.38552712e-03  8.52518784e-02  3.30911560e-01 
 1.31280000e-11  1.09022251e+00  3.02860741e-02  3.19335327e-02  3.35419507e-01 
 1.32280000e-11  1.16825854e+00  6.74292741e-02 -1.69786315e-02  3.41232583e-01 
 1.33280000e-11  1.23954652e+00  1.08665288e-01 -6.09760490e-02  3.48288193e-01 
 1.34280000e-11  1.30336658e+00  1.53574933e-01 -9.96021669e-02  3.56513019e-01 
 1.35280000e-11  1.35907427e+00  2.01702946e-01 -1.32457144e-01  3.65823805e-01 
 1.36280000e-11  1.40610706e+00  2.52562625e-01 -1.59201901e-01  3.76128165e-01 
 1.37280000e-11  1.44399001e+00  3.05640742e-01 -1.79561494e-01  3.87325442e-01 
 1.38280000e-11  1.47234058e+00  3.60402680e-01 -1.93327766e-01  3.99307586e-01 
 1.39280000e-11  1.49087249e+00  4.16297758e-01 -2.00361282e-01  4.11960075e-01 
 1.40280000e-11  1.49939860e+00  4.72764681e-01 -2.00592512e-01  4.25162861e-01 
 1.41280000e-11  1.49783282e+00  5.29237077e-01 -1.94022279e-01  4.38791340e-01 
 1.42280000e-11  1.48619096e+00  5.85149070e-01 -1.80721468e-01  4.52717360e-01 
 1.43280000e-11  1.46459057e+00  6.39940829e-01 -1.60830008e-01  4.66810251e-01 
 1.44280000e-11  1.43324978e+00  6.93064054e-01 -1.34555156e-01  4.80937878e-01 
 1.45280000e-11  1.39248507e+00  7.43987355e-01 -1.02169098e-01  4.94967715e-01 
 1.46280000e-11  1.34270807e+00  7.92201448e-01 -6.40059142e-02  5.08767949e-01 
 1.47280000e-11  1.28442144e+00  8.37224160e-01 -2.04579307e-02  5.22208579e-01 
 1.48280000e-11  1.21821374e+00  8.78605158e-01  2.80284841e-02  5.35162541e-01 
 1.49280000e-11  1.14475355e+00  9.15930388e-01  8.09576402e-02  5.47506818e-01 
 1.50280000e-11  1.06478266e+00  9.48826161e-01  1.37789708e-01  5.59123554e-01 
 1.51280000e-11  9.79108608e-01  9.76962857e-01  1.97946306e-01  5.69901144e-01 
 1.52280000e-11  8.88596537e-01  1.00005821e+00  2.60816442e-01  5.79735300e-01 
 1.53280000e-11  7.94160431e-01  1.01788014e+00  3.25762737e-01  5.88530074e-01 
 1.54280000e-11  6.96753904e-01  1.03024910e+00  3.92127885e-01  5.96198831e-01 
 1.55280000e-11  5.97360561e-01  1.03703989e+00  4.59241269e-01  6.02665167e-01 
 1.56280000e-11  4.96984076e-01  1.03818301e+00  5.26425685e-01  6.07863736e-01 
 1.57280000e-11  3.96638045e-01  1.03366538e+00  5.93004100e-01  6.11741005e-01 
 1.58280000e-11  2.97335759e-01  1.02353057e+00  6.58306384e-01  6.14255903e-01 
 1.59280000e-11  2.00079970e-01  1.00787846e+00  7.21675955e-01  6.15380353e-01 
 1.60280000e-11  1.05852763e-01  9.86864271e-01  7.82476268e-01  6.15099698e-01 
 1.61280000e-11  1.56056422e-02  9.60697173e-01  8.40097100e-01  6.13412986e-01 
 1.62280000e-11 -6.97500813e-02  9.29638213e-01  8.93960559e-01  6.10333121e-01 
 1.63280000e-11 -1.49352488e-01  8.93997806e-01  9.43526772e-01  6.05886874e-01 
 1.64280000e-11 -2.22397755e-01  8.54132684e-01  9.88299194e-01  6.00114748e-01 
 1.65280000e-11 -2.88148274e-01  8.10442387e-01  1.02782949e+00  5.93070687e-01 
 1.66280000e-11 -3.45940099e-01  7.63365296e-01  1.06172194e+00  5.84821649e-01 
 1.67280000e-11 -3.95189649e-01  7.13374280e-01  1.08963734e+00  5.75447021e-01 
 1.68280000e-11 -4.35399604e-01  6.60971966e-01  1.11129632e+00  5.65037897e-01 
 1.69280000e-11 -4.66163927e-01  6.06685711e-01  1.12648216e+00  5.53696221e-01 
 1.70280000e-11 -4.87171958e-01  5.51062293e-01  1.13504286e+00  5.41533805e-01 
 1.71280000e-11 -4.98211561e-01  4.94662408e-01  1.13689269e+00  5.28671218e-01 
 1.72280000e-11 -4.99171257e-01  4.38055005e-01  1.13201308e+00  5.15236583e-01 
 1.73280000e-11 -4.90041356e-01  3.81811523e-01  1.12045276e+00  5.01364276e-01 
 1.74280000e-11 -4.70914051e-01  3.26500103e-01  1.10232735e+00  4.87193543e-01 
 1.75280000e-11 -4.41982489e-01  2.72679809e-01  1.07781826e+00  4.72867065e-01 
 1.76280000e-11 -4.03538819e-01  2.20894943e-01  1.04717083e+00  4.58529467e-01 
 1.77280000e-11 -3.55971246e-01  1.71669499e-01  1.01069205e+00  4.44325808e-01 
 1.78280000e-11 -2.99760103e-01  1.25501820e-01  9.68747416e-01  4.30400056e-01 
 1.79280000e-11 -2.35473011e-01  8.28595065e-02  9.21757414e-01  4.16893571e-01 
 1.80280000e-11 -1.63759136e-01  4.41746385e-02  8.70193312e-01  4.03943614e-01 
