 frequency       s11_db          s22_db          s12_db          s21_db          s11_deg         s22_deg         s12_deg         s21_deg        
 1.25120000e+11 -5.28707040e-01 -5.34947938e-01 -4.54155762e+01 -4.54155761e+01 -1.64456594e+02 -1.69536664e+02 -9.36431600e+01 -9.36431603e+01 
 1.25200000e+11 -5.30208283e-01 -5.36435036e-01 -4.53577953e+01 -4.53577953e+01 -1.64549623e+02 -1.69634037e+02 -9.38079817e+01 -9.38079820e+01 
 1.25280000e+11 -5.31718629e-01 -5.37931041e-01 -4.52997248e+01 -4.52997247e+01 -1.64642816e+02 -1.69731571e+02 -9.39732868e+01 -9.39732871e+01 
 1.25360000e+11 -5.33238172e-01 -5.39436046e-01 -4.52413635e+01 -4.52413634e+01 -1.64736174e+02 -1.69829267e+02 -9.41390788e+01 -9.41390791e+01 
 1.25440000e+11 -5.34767008e-01 -5.40950146e-01 -4.51827105e+01 -4.51827104e+01 -1.64829699e+02 -1.69927128e+02 -9.43053614e+01 -9.43053617e+01 
 1.25520000e+11 -5.36305237e-01 -5.42473436e-01 -4.51237648e+01 -4.51237648e+01 -1.64923392e+02 -1.70025154e+02 -9.44721382e+01 -9.44721385e+01 
 1.25600000e+11 -5.37852956e-01 -5.44006013e-01 -4.50645255e+01 -4.50645255e+01 -1.65017255e+02 -1.70123347e+02 -9.46394130e+01 -9.46394132e+01 
 1.25680000e+11 -5.39410266e-01 -5.45547974e-01 -4.50049916e+01 -4.50049916e+01 -1.65111289e+02 -1.70221708e+02 -9.48071895e+01 -9.48071897e+01 
 1.25760000e+11 -5.40977269e-01 -5.47099420e-01 -4.49451621e+01 -4.49451621e+01 -1.65205495e+02 -1.70320239e+02 -9.49754715e+01 -9.49754717e+01 
 1.25840000e+11 -5.42554070e-01 -5.48660453e-01 -4.48850361e+01 -4.48850360e+01 -1.65299875e+02 -1.70418940e+02 -9.51442629e+01 -9.51442631e+01 
 1.25920000e+11 -5.44140772e-01 -5.50231173e-01 -4.48246124e+01 -4.48246124e+01 -1.65394430e+02 -1.70517813e+02 -9.53135676e+01 -9.53135679e+01 
 1.26000000e+11 -5.45737484e-01 -5.51811687e-01 -4.47638902e+01 -4.47638902e+01 -1.65489161e+02 -1.70616860e+02 -9.54833897e+01 -9.54833899e+01 
 1.26080000e+11 -5.47344312e-01 -5.53402099e-01 -4.47028684e+01 -4.47028684e+01 -1.65584070e+02 -1.70716082e+02 -9.56537331e+01 -9.56537334e+01 
 1.26160000e+11 -5.48961368e-01 -5.55002517e-01 -4.46415461e+01 -4.46415460e+01 -1.65679159e+02 -1.70815480e+02 -9.58246020e+01 -9.58246022e+01 
 1.26240000e+11 -5.50588763e-01 -5.56613051e-01 -4.45799221e+01 -4.45799221e+01 -1.65774429e+02 -1.70915056e+02 -9.59960005e+01 -9.59960007e+01 
 1.26320000e+11 -5.52226611e-01 -5.58233810e-01 -4.45179956e+01 -4.45179955e+01 -1.65869881e+02 -1.71014811e+02 -9.61679329e+01 -9.61679331e+01 
 1.26400000e+11 -5.53875025e-01 -5.59864907e-01 -4.44557654e+01 -4.44557654e+01 -1.65965516e+02 -1.71114747e+02 -9.63404033e+01 -9.63404035e+01 
 1.26480000e+11 -5.55534124e-01 -5.61506457e-01 -4.43932306e+01 -4.43932305e+01 -1.66061337e+02 -1.71214865e+02 -9.65134162e+01 -9.65134164e+01 
 1.26560000e+11 -5.57204026e-01 -5.63158575e-01 -4.43303900e+01 -4.43303900e+01 -1.66157345e+02 -1.71315167e+02 -9.66869759e+01 -9.66869761e+01 
 1.26640000e+11 -5.58884852e-01 -5.64821379e-01 -4.42672428e+01 -4.42672427e+01 -1.66253541e+02 -1.71415654e+02 -9.68610869e+01 -9.68610871e+01 
 1.26720000e+11 -5.60576723e-01 -5.66494989e-01 -4.42037877e+01 -4.42037877e+01 -1.66349927e+02 -1.71516328e+02 -9.70357537e+01 -9.70357539e+01 
 1.26800000e+11 -5.62279765e-01 -5.68179526e-01 -4.41400239e+01 -4.41400238e+01 -1.66446505e+02 -1.71617190e+02 -9.72109810e+01 -9.72109812e+01 
 1.26880000e+11 -5.63994103e-01 -5.69875113e-01 -4.40759501e+01 -4.40759500e+01 -1.66543276e+02 -1.71718242e+02 -9.73867733e+01 -9.73867735e+01 
 1.26960000e+11 -5.65719867e-01 -5.71581875e-01 -4.40115654e+01 -4.40115653e+01 -1.66640241e+02 -1.71819485e+02 -9.75631354e+01 -9.75631356e+01 
 1.27040000e+11 -5.67457185e-01 -5.73299940e-01 -4.39468687e+01 -4.39468686e+01 -1.66737403e+02 -1.71920921e+02 -9.77400721e+01 -9.77400723e+01 
 1.27120000e+11 -5.69206191e-01 -5.75029437e-01 -4.38818588e+01 -4.38818588e+01 -1.66834762e+02 -1.72022551e+02 -9.79175883e+01 -9.79175885e+01 
 1.27200000e+11 -5.70967018e-01 -5.76770497e-01 -4.38165348e+01 -4.38165348e+01 -1.66932321e+02 -1.72124378e+02 -9.80956888e+01 -9.80956890e+01 
 1.27280000e+11 -5.72739805e-01 -5.78523254e-01 -4.37508955e+01 -4.37508955e+01 -1.67030082e+02 -1.72226403e+02 -9.82743788e+01 -9.82743790e+01 
 1.27360000e+11 -5.74524689e-01 -5.80287843e-01 -4.36849398e+01 -4.36849398e+01 -1.67128045e+02 -1.72328627e+02 -9.84536633e+01 -9.84536635e+01 
 1.27440000e+11 -5.76321811e-01 -5.82064403e-01 -4.36186667e+01 -4.36186667e+01 -1.67226213e+02 -1.72431052e+02 -9.86335474e+01 -9.86335476e+01 
