 time            vref1           vref2           vref3           vref4           vout1           vout2           vout3           vout4          
 4.45181564e-11  7.36891315e-01  7.36890600e-01  7.36901654e-01  7.36887683e-01  7.30189132e-01  7.30225875e-01  7.30156239e-01  7.30251103e-01 
 4.52402013e-11  7.36889862e-01  7.36895590e-01  7.36899107e-01  7.36886854e-01  7.30176760e-01  7.30217340e-01  7.30160343e-01  7.30239409e-01 
 4.57475948e-11  7.36890806e-01  7.36900263e-01  7.36895613e-01  7.36888342e-01  7.30166640e-01  7.30215702e-01  7.30158456e-01  7.30230917e-01 
 4.62518663e-11  7.36893516e-01  7.36904759e-01  7.36891878e-01  7.36891582e-01  7.30157437e-01  7.30217904e-01  7.30151565e-01  7.30224332e-01 
 4.67901354e-11  7.36897883e-01  7.36908162e-01  7.36888906e-01  7.36896372e-01  7.30150483e-01  7.30223276e-01  7.30139053e-01  7.30220988e-01 
 4.74209351e-11  7.36903459e-01  7.36909221e-01  7.36888210e-01  7.36902109e-01  7.30147350e-01  7.30230494e-01  7.30120477e-01  7.30222375e-01 
 4.81855521e-11  7.36908163e-01  7.36906411e-01  7.36892028e-01  7.36906538e-01  7.30149321e-01  7.30235501e-01  7.30099191e-01  7.30228936e-01 
 4.86487279e-11  7.36909104e-01  7.36903106e-01  7.36896432e-01  7.36907140e-01  7.30152196e-01  7.30235000e-01  7.30089530e-01  7.30233758e-01 
 4.91054879e-11  7.36908276e-01  7.36899432e-01  7.36901524e-01  7.36905953e-01  7.30154769e-01  7.30231114e-01  7.30083984e-01  7.30237471e-01 
 4.96078650e-11  7.36905574e-01  7.36895916e-01  7.36906701e-01  7.36902929e-01  7.30155722e-01  7.30223144e-01  7.30082724e-01  7.30238783e-01 
 5.01052353e-11  7.36901752e-01  7.36893885e-01  7.36910146e-01  7.36898934e-01  7.30153634e-01  7.30212679e-01  7.30085275e-01  7.30236289e-01 
 5.07718066e-11  7.36896697e-01  7.36894344e-01  7.36910830e-01  7.36893983e-01  7.30145690e-01  7.30198496e-01  7.30090490e-01  7.30227245e-01 
 5.15638611e-11  7.36893506e-01  7.36898790e-01  7.36906447e-01  7.36891405e-01  7.30131351e-01  7.30187373e-01  7.30092658e-01  7.30212087e-01 
 5.20410106e-11  7.36893740e-01  7.36902589e-01  7.36901983e-01  7.36892200e-01  7.30121961e-01  7.30185153e-01  7.30089819e-01  7.30202937e-01 
 5.24929879e-11  7.36895609e-01  7.36905987e-01  7.36897476e-01  7.36894642e-01  7.30114202e-01  7.30186456e-01  7.30083300e-01  7.30196182e-01 
