t_ns,out1_mv,out2_mv,out3_mv,out4_mv
1.940000e-01,-5.053256e-01,4.239024e-01,-2.711324e-01,2.360942e-01
1.950000e-01,-5.023367e-01,4.227120e-01,-2.785499e-01,2.426812e-01
1.960000e-01,-4.992615e-01,4.214340e-01,-2.858856e-01,2.492010e-01
1.970000e-01,-4.961124e-01,4.201178e-01,-2.931744e-01,2.556849e-01
1.980000e-01,-4.928995e-01,4.187764e-01,-3.004516e-01,2.621541e-01
1.990000e-01,-4.896237e-01,4.173742e-01,-3.077256e-01,2.685947e-01
2.000000e-01,-4.862784e-01,4.158757e-01,-3.149768e-01,2.749798e-01
2.010000e-01,-4.828531e-01,4.142627e-01,-3.221624e-01,2.812877e-01
2.020000e-01,-4.793438e-01,4.125523e-01,-3.292581e-01,2.875162e-01
2.030000e-01,-4.757593e-01,4.107933e-01,-3.362887e-01,2.936929e-01
2.040000e-01,-4.721108e-01,4.090140e-01,-3.432936e-01,2.998477e-01
2.050000e-01,-4.684021e-01,4.071877e-01,-3.502871e-01,3.059757e-01
2.060000e-01,-4.646299e-01,4.052742e-01,-3.572580e-01,3.120493e-01
2.070000e-01,-4.607850e-01,4.032505e-01,-3.641677e-01,3.180438e-01
2.080000e-01,-4.568606e-01,4.011222e-01,-3.709832e-01,3.239492e-01
2.090000e-01,-4.528609e-01,3.989339e-01,-3.777171e-01,3.297867e-01
2.100000e-01,-4.487969e-01,3.967259e-01,-3.844095e-01,3.355920e-01
2.110000e-01,-4.446750e-01,3.944842e-01,-3.910818e-01,3.413713e-01
2.120000e-01,-4.404950e-01,3.921665e-01,-3.977297e-01,3.470985e-01
2.130000e-01,-4.362502e-01,3.897451e-01,-4.043212e-01,3.527464e-01
2.140000e-01,-4.319326e-01,3.872157e-01,-4.108184e-01,3.582983e-01
2.150000e-01,-4.275417e-01,3.846145e-01,-4.172208e-01,3.637672e-01
2.160000e-01,-4.230865e-01,3.819899e-01,-4.235653e-01,3.691905e-01
2.170000e-01,-4.185751e-01,3.793436e-01,-4.298797e-01,3.745865e-01
2.180000e-01,-4.140101e-01,3.766349e-01,-4.361656e-01,3.799343e-01
2.190000e-01,-4.093876e-01,3.738308e-01,-4.423984e-01,3.852040e-01
2.200000e-01,-4.046999e-01,3.709183e-01,-4.485391e-01,3.903735e-01
2.210000e-01,-3.999428e-01,3.679238e-01,-4.545750e-01,3.954467e-01
2.220000e-01,-3.951219e-01,3.648984e-01,-4.605362e-01,4.004589e-01
2.230000e-01,-3.902461e-01,3.618600e-01,-4.664561e-01,4.054394e-01
2.240000e-01,-3.853204e-01,3.587739e-01,-4.723419e-01,4.103757e-01
2.250000e-01,-3.803441e-01,3.556016e-01,-4.781768e-01,4.152361e-01
2.260000e-01,-3.753111e-01,3.523247e-01,-4.839235e-01,4.199950e-01
2.270000e-01,-3.702146e-01,3.489578e-01,-4.895594e-01,4.246472e-01
2.280000e-01,-3.650560e-01,3.455504e-01,-4.951050e-01,4.292224e-01
2.290000e-01,-3.598436e-01,3.421350e-01,-5.005966e-01,4.337583e-01
2.300000e-01,-3.545844e-01,3.386873e-01,-5.060475e-01,4.382538e-01
2.310000e-01,-3.492808e-01,3.351649e-01,-5.114478e-01,4.426772e-01
2.320000e-01,-3.439290e-01,3.315440e-01,-5.167646e-01,4.470001e-01
2.330000e-01,-3.385214e-01,3.278286e-01,-5.219684e-01,4.512089e-01
2.340000e-01,-3.330552e-01,3.240618e-01,-5.270687e-01,4.553251e-01
2.350000e-01,-3.275365e-01,3.202875e-01,-5.321009e-01,4.593910e-01
2.360000e-01,-3.219735e-01,3.164957e-01,-5.370851e-01,4.634189e-01
2.370000e-01,-3.163713e-01,3.126429e-01,-5.420174e-01,4.673804e-01
2.380000e-01,-3.107293e-01,3.087002e-01,-5.468706e-01,4.712440e-01
2.390000e-01,-3.050406e-01,3.046616e-01,-5.516121e-01,4.749892e-01
2.400000e-01,-2.992987e-01,3.005618e-01,-5.562396e-01,4.786281e-01
2.410000e-01,-2.935061e-01,2.964507e-01,-5.607850e-01,4.822030e-01
2.420000e-01,-2.876716e-01,2.923346e-01,-5.652741e-01,4.857392e-01
2.430000e-01,-2.818020e-01,2.881729e-01,-5.697081e-01,4.892155e-01
2.440000e-01,-2.759001e-01,2.839307e-01,-5.740666e-01,4.925975e-01
2.450000e-01,-2.699609e-01,2.795951e-01,-5.783164e-01,4.958603e-01
2.460000e-01,-2.639758e-01,2.751898e-01,-5.824452e-01,4.990057e-01
2.470000e-01,-2.579428e-01,2.707663e-01,-5.864781e-01,5.020717e-01
2.480000e-01,-2.518699e-01,2.663467e-01,-5.904453e-01,5.050952e-01
2.490000e-01,-2.457657e-01,2.618982e-01,-5.943534e-01,5.080658e-01
2.500000e-01,-2.396358e-01,2.573805e-01,-5.981886e-01,5.109473e-01
2.510000e-01,-2.334783e-01,2.527747e-01,-6.019198e-01,5.137114e-01
2.520000e-01,-2.272841e-01,2.480936e-01,-6.055271e-01,5.163499e-01
2.530000e-01,-2.210467e-01,2.433850e-01,-6.090264e-01,5.188939e-01
2.540000e-01,-2.147711e-01,2.386852e-01,-6.124492e-01,5.213876e-01
