 time            vref1           vref2           vref3           vref4           vout1           vout2           vout3           vout4          
 4.94500000e-09  7.36945221e-01  7.37622600e-01  7.37127110e-01  7.37582208e-01  7.21170814e-01  7.17093987e-01  7.20397993e-01  7.17210618e-01 
 4.94600000e-09  7.36945532e-01  7.37623098e-01  7.37127456e-01  7.37582707e-01  7.21149762e-01  7.17096116e-01  7.20388577e-01  7.17204708e-01 
 4.94700000e-09  7.36945790e-01  7.37623568e-01  7.37127749e-01  7.37583175e-01  7.21135894e-01  7.17084254e-01  7.20383841e-01  7.17184117e-01 
 4.94800000e-09  7.36946035e-01  7.37623976e-01  7.37128022e-01  7.37583580e-01  7.21138967e-01  7.17072209e-01  7.20395159e-01  7.17163451e-01 
 4.94900000e-09  7.36946320e-01  7.37624347e-01  7.37128328e-01  7.37583946e-01  7.21150494e-01  7.17076193e-01  7.20416584e-01  7.17159785e-01 
 4.95000000e-09  7.36946661e-01  7.37624738e-01  7.37128689e-01  7.37584333e-01  7.21156032e-01  7.17095310e-01  7.20433845e-01  7.17171912e-01 
 4.95100000e-09  7.36947022e-01  7.37625189e-01  7.37129077e-01  7.37584782e-01  7.21147738e-01  7.17114272e-01  7.20438304e-01  7.17183684e-01 
 4.95200000e-09  7.36947350e-01  7.37625683e-01  7.37129438e-01  7.37585278e-01  7.21127477e-01  7.17121395e-01  7.20430035e-01  7.17182991e-01 
 4.95300000e-09  7.36947620e-01  7.37626166e-01  7.37129744e-01  7.37585760e-01  7.21109588e-01  7.17113154e-01  7.20421644e-01  7.17166254e-01 
 4.95400000e-09  7.36947863e-01  7.37626591e-01  7.37130016e-01  7.37586183e-01  7.21107671e-01  7.17099560e-01  7.20427652e-01  7.17144098e-01 
 4.95500000e-09  7.36948133e-01  7.37626967e-01  7.37130307e-01  7.37586554e-01  7.21118081e-01  7.17098266e-01  7.20447253e-01  7.17135058e-01 
 4.95600000e-09  7.36948460e-01  7.37627346e-01  7.37130653e-01  7.37586929e-01  7.21126101e-01  7.17114565e-01  7.20466539e-01  7.17144373e-01 
 4.95700000e-09  7.36948821e-01  7.37627777e-01  7.37131038e-01  7.37587359e-01  7.21121817e-01  7.17135526e-01  7.20474732e-01  7.17158293e-01 
 4.95800000e-09  7.36949163e-01  7.37628263e-01  7.37131412e-01  7.37587845e-01  7.21103616e-01  7.17147211e-01  7.20468740e-01  7.17162393e-01 
 4.95900000e-09  7.36949449e-01  7.37628754e-01  7.37131733e-01  7.37588337e-01  7.21082970e-01  7.17143474e-01  7.20457984e-01  7.17150434e-01 
 4.96000000e-09  7.36949695e-01  7.37629198e-01  7.37132009e-01  7.37588778e-01  7.21075736e-01  7.17129990e-01  7.20458482e-01  7.17128538e-01 
 4.96100000e-09  7.36949952e-01  7.37629583e-01  7.37132289e-01  7.37589160e-01  7.21083740e-01  7.17123917e-01  7.20474907e-01  7.17114700e-01 
 4.96200000e-09  7.36950263e-01  7.37629954e-01  7.37132617e-01  7.37589527e-01  7.21093511e-01  7.17136121e-01  7.20495345e-01  7.17119958e-01 
 4.96300000e-09  7.36950619e-01  7.37630366e-01  7.37132996e-01  7.37589938e-01  7.21093054e-01  7.17157796e-01  7.20506956e-01  7.17134762e-01 
 4.96400000e-09  7.36950972e-01  7.37630838e-01  7.37133378e-01  7.37590411e-01  7.21077927e-01  7.17173455e-01  7.20504093e-01  7.17143081e-01 
 4.96500000e-09  7.36951275e-01  7.37631333e-01  7.37133716e-01  7.37590907e-01  7.21055972e-01  7.17174684e-01  7.20492399e-01  7.17136393e-01 
 4.96600000e-09  7.36951527e-01  7.37631794e-01  7.37134001e-01  7.37591366e-01  7.21043611e-01  7.17162893e-01  7.20487720e-01  7.17116414e-01 
 4.96700000e-09  7.36951776e-01  7.37632193e-01  7.37134273e-01  7.37591763e-01  7.21048023e-01  7.17153088e-01  7.20499778e-01  7.17098910e-01 
 4.96800000e-09  7.36952070e-01  7.37632561e-01  7.37134584e-01  7.37592127e-01  7.21058604e-01  7.17160295e-01  7.20520250e-01  7.17099246e-01 
 4.96900000e-09  7.36952417e-01  7.37632956e-01  7.37134951e-01  7.37592521e-01  7.21061572e-01  7.17181194e-01  7.20534789e-01  7.17113470e-01 
 4.97000000e-09  7.36952777e-01  7.37633411e-01  7.37135339e-01  7.37592977e-01  7.21050207e-01  7.17200116e-01  7.20535562e-01  7.17125318e-01 
 4.97100000e-09  7.36953096e-01  7.37633905e-01  7.37135692e-01  7.37593472e-01  7.21028424e-01  7.17206347e-01  7.20524341e-01  7.17123960e-01 
 4.97200000e-09  7.36953360e-01  7.37634380e-01  7.37135990e-01  7.37593946e-01  7.21011627e-01  7.17197612e-01  7.20515311e-01  7.17107321e-01 
 4.97300000e-09  7.36953604e-01  7.37634796e-01  7.37136259e-01  7.37594359e-01  7.21011511e-01  7.17185515e-01  7.20522121e-01  7.17087672e-01 
 4.97400000e-09  7.36953882e-01  7.37635167e-01  7.37136554e-01  7.37594727e-01  7.21021740e-01  7.17187346e-01  7.20541307e-01  7.17082751e-01 
 4.97500000e-09  7.36954217e-01  7.37635547e-01  7.37136907e-01  7.37595106e-01  7.21027608e-01  7.17205945e-01  7.20558166e-01  7.17094906e-01 
 4.97600000e-09  7.36954579e-01  7.37635984e-01  7.37137294e-01  7.37595543e-01  7.21020333e-01  7.17227232e-01  7.20562717e-01  7.17109412e-01 
 4.97700000e-09  7.36954914e-01  7.37636471e-01  7.37137662e-01  7.37596032e-01  7.21000092e-01  7.17238141e-01  7.20553232e-01  7.17113074e-01 
 4.97800000e-09  7.36955192e-01  7.37636956e-01  7.37137974e-01  7.37596517e-01  7.20979971e-01  7.17233498e-01  7.20541056e-01  7.17100858e-01 
 4.97900000e-09  7.36955436e-01  7.37637390e-01  7.37138245e-01  7.37596949e-01  7.20974772e-01  7.17220738e-01  7.20542182e-01  7.17080769e-01 
 4.98000000e-09  7.36955700e-01  7.37637769e-01  7.37138528e-01  7.37597325e-01  7.20983371e-01  7.17217427e-01  7.20558694e-01  7.17070873e-01 
 4.98100000e-09  7.36956020e-01  7.37638139e-01  7.37138864e-01  7.37597694e-01  7.20991493e-01  7.17232337e-01  7.20577106e-01  7.17079607e-01 
 4.98200000e-09  7.36956380e-01  7.37638556e-01  7.37139246e-01  7.37598112e-01  7.20988282e-01  7.17254817e-01  7.20585244e-01  7.17095634e-01 
 4.98300000e-09  7.36956727e-01  7.37639031e-01  7.37139625e-01  7.37598589e-01  7.20970741e-01  7.17269866e-01  7.20578513e-01  7.17103793e-01 
 4.98400000e-09  7.36957021e-01  7.37639523e-01  7.37139954e-01  7.37599081e-01  7.20948674e-01  7.17269956e-01  7.20564611e-01  7.17096675e-01 
 4.98500000e-09  7.36957270e-01  7.37639974e-01  7.37140232e-01  7.37599530e-01  7.20938320e-01  7.17258158e-01  7.20560145e-01  7.17077833e-01 
 4.98600000e-09  7.36957524e-01  7.37640365e-01  7.37140504e-01  7.37599919e-01  7.20944042e-01  7.17250529e-01  7.20572689e-01  7.17063844e-01 
 4.98700000e-09  7.36957827e-01  7.37640731e-01  7.37140823e-01  7.37600283e-01  7.20953594e-01  7.17260662e-01  7.20591655e-01  7.17068106e-01 
 4.98800000e-09  7.36958180e-01  7.37641129e-01  7.37141196e-01  7.37600683e-01  7.20954142e-01  7.17282905e-01  7.20602963e-01  7.17084265e-01 
 4.98900000e-09  7.36958536e-01  7.37641589e-01  7.37141582e-01  7.37601144e-01  7.20940162e-01  7.17301439e-01  7.20599681e-01  7.17096281e-01 
 4.99000000e-09  7.36958847e-01  7.37642082e-01  7.37141928e-01  7.37601637e-01  7.20917634e-01  7.17306470e-01  7.20585528e-01  7.17094499e-01 
 4.99100000e-09  7.36959105e-01  7.37642549e-01  7.37142216e-01  7.37602103e-01  7.20902573e-01  7.17297100e-01  7.20576094e-01  7.17078419e-01 
 4.99200000e-09  7.36959352e-01  7.37642955e-01  7.37142484e-01  7.37602507e-01  7.20904349e-01  7.17286446e-01  7.20583617e-01  7.17061681e-01 
 4.99300000e-09  7.36959639e-01  7.37643321e-01  7.37142786e-01  7.37602872e-01  7.20914283e-01  7.17291180e-01  7.20601893e-01  7.17060888e-01 
 4.99400000e-09  7.36959981e-01  7.37643704e-01  7.37143146e-01  7.37603256e-01  7.20918119e-01  7.17311647e-01  7.20615826e-01  7.17075683e-01 
 4.99500000e-09  7.36960342e-01  7.37644145e-01  7.37143534e-01  7.37603699e-01  7.20908212e-01  7.17332856e-01  7.20616322e-01  7.17090771e-01 
 4.99600000e-09  7.36960669e-01  7.37644633e-01  7.37143896e-01  7.37604188e-01  7.20886663e-01  7.17342639e-01  7.20603300e-01  7.17094159e-01 
 4.99700000e-09  7.36960940e-01  7.37645113e-01  7.37144199e-01  7.37604666e-01  7.20867812e-01  7.17336878e-01  7.20589974e-01  7.17082061e-01 
 4.99800000e-09  7.36961184e-01  7.37645536e-01  7.37144466e-01  7.37605088e-01  7.20864887e-01  7.17324768e-01  7.20591808e-01  7.17064192e-01 
 4.99900000e-09  7.36961456e-01  7.37645908e-01  7.37144753e-01  7.37605459e-01  7.20873976e-01  7.17324069e-01  7.20608013e-01  7.17058346e-01 
 5.00000000e-09  7.36961784e-01  7.37646279e-01  7.37145097e-01  7.37605831e-01  7.20880519e-01  7.17341284e-01  7.20623895e-01  7.17070349e-01 
 5.00100000e-09  7.36962145e-01  7.37646701e-01  7.37145483e-01  7.37606255e-01  7.20874834e-01  7.17364115e-01  7.20628137e-01  7.17087491e-01 
 5.00200000e-09  7.36962486e-01  7.37647179e-01  7.37145857e-01  7.37606734e-01  7.20855538e-01  7.17378182e-01  7.20617422e-01  7.17095597e-01 
 5.00300000e-09  7.36962772e-01  7.37647667e-01  7.37146177e-01  7.37607221e-01  7.20834158e-01  7.17376842e-01  7.20601578e-01  7.17088323e-01 
 5.00400000e-09  7.36963019e-01  7.37648109e-01  7.37146449e-01  7.37607661e-01  7.20826215e-01  7.17364922e-01  7.20597560e-01  7.17071008e-01 
 5.00500000e-09  7.36963278e-01  7.37648491e-01  7.37146724e-01  7.37608042e-01  7.20833189e-01  7.17359372e-01  7.20610330e-01  7.17060722e-01 
 5.00600000e-09  7.36963591e-01  7.37648855e-01  7.37147051e-01  7.37608407e-01  7.20841715e-01  7.17372092e-01  7.20627287e-01  7.17068736e-01 
 5.00700000e-09  7.36963947e-01  7.37649258e-01  7.37147430e-01  7.37608812e-01  7.20840075e-01  7.17395201e-01  7.20634956e-01  7.17086639e-01 
 5.00800000e-09  7.36964299e-01  7.37649722e-01  7.37147814e-01  7.37609278e-01  7.20824047e-01  7.17412947e-01  7.20627429e-01  7.17098866e-01 
 5.00900000e-09  7.36964602e-01  7.37650213e-01  7.37148150e-01  7.37609768e-01  7.20801583e-01  7.17416418e-01  7.20610574e-01  7.17096833e-01 
 5.01000000e-09  7.36964855e-01  7.37650671e-01  7.37148432e-01  7.37610224e-01  7.20788814e-01  7.17406237e-01  7.20601093e-01  7.17081650e-01 
