t_ns,out1_mv,out2_mv,out3_mv,out4_mv
1.260000e-01,-5.033073e-01,4.349998e-01,8.158168e-02,1.831311e-03
1.270000e-01,-5.036492e-01,4.363499e-01,7.346114e-02,8.981543e-03
1.280000e-01,-5.039109e-01,4.376486e-01,6.535678e-02,1.613244e-02
1.290000e-01,-5.041086e-01,4.389208e-01,5.722431e-02,2.330074e-02
1.300000e-01,-5.042430e-01,4.401455e-01,4.904295e-02,3.048188e-02
1.310000e-01,-5.043028e-01,4.412889e-01,4.081955e-02,3.765844e-02
1.320000e-01,-5.042696e-01,4.423288e-01,3.259577e-02,4.481457e-02
1.330000e-01,-5.041366e-01,4.432674e-01,2.441334e-02,5.194387e-02
1.340000e-01,-5.039176e-01,4.441418e-01,1.626458e-02,5.905980e-02
1.350000e-01,-5.036306e-01,4.449874e-01,8.105691e-03,6.618378e-02
1.360000e-01,-5.032800e-01,4.457941e-01,-9.093294e-05,7.331843e-02
1.370000e-01,-5.028585e-01,4.465266e-01,-8.326023e-03,8.044703e-02
1.380000e-01,-5.023495e-01,4.471588e-01,-1.656606e-02,8.755164e-02
1.390000e-01,-5.017420e-01,4.476842e-01,-2.476463e-02,9.462078e-02
1.400000e-01,-5.010443e-01,4.481323e-01,-3.291472e-02,1.016626e-01
1.410000e-01,-5.002741e-01,4.485455e-01,-4.105572e-02,1.087005e-01
1.420000e-01,-4.994397e-01,4.489273e-01,-4.922209e-02,1.157456e-01
1.430000e-01,-4.985373e-01,4.492439e-01,-5.742086e-02,1.227840e-01
1.440000e-01,-4.975531e-01,4.494654e-01,-6.562775e-02,1.297961e-01
1.450000e-01,-4.964741e-01,4.495777e-01,-7.379593e-02,1.367660e-01
1.460000e-01,-4.953024e-01,4.496013e-01,-8.190449e-02,1.436958e-01
1.470000e-01,-4.940540e-01,4.495809e-01,-8.998442e-02,1.506081e-01
1.480000e-01,-4.927403e-01,4.495340e-01,-9.807565e-02,1.575215e-01
1.490000e-01,-4.913605e-01,4.494322e-01,-1.061912e-01,1.644279e-01
1.500000e-01,-4.899046e-01,4.492412e-01,-1.143160e-01,1.713060e-01
1.510000e-01,-4.883588e-01,4.489419e-01,-1.224062e-01,1.781374e-01
1.520000e-01,-4.867203e-01,4.485443e-01,-1.304301e-01,1.849172e-01
1.530000e-01,-4.850017e-01,4.480913e-01,-1.384068e-01,1.916647e-01
1.540000e-01,-4.832162e-01,4.476136e-01,-1.463789e-01,1.984050e-01
1.550000e-01,-4.813660e-01,4.470918e-01,-1.543659e-01,2.051375e-01
1.560000e-01,-4.794447e-01,4.464887e-01,-1.623608e-01,2.118410e-01
1.570000e-01,-4.774395e-01,4.457806e-01,-1.703255e-01,2.184949e-01
1.580000e-01,-4.753440e-01,4.449677e-01,-1.782210e-01,2.250879e-01
1.590000e-01,-4.731660e-01,4.440874e-01,-1.860530e-01,2.316338e-01
1.600000e-01,-4.709190e-01,4.431800e-01,-1.938625e-01,2.381613e-01
