t_ns,out1_mv,out2_mv,out3_mv,out4_mv
1.310000e-01,-3.523052e-01,3.293810e-01,1.795531e-01,-5.653245e-04
1.320000e-01,-3.528853e-01,3.312638e-01,1.731462e-01,4.076166e-03
1.330000e-01,-3.533788e-01,3.330410e-01,1.667829e-01,8.684289e-03
1.340000e-01,-3.538005e-01,3.347601e-01,1.604644e-01,1.327866e-02
1.350000e-01,-3.541791e-01,3.364794e-01,1.541218e-01,1.789395e-02
1.360000e-01,-3.545283e-01,3.382037e-01,1.476946e-01,2.254275e-02
1.370000e-01,-3.548390e-01,3.398824e-01,1.411754e-01,2.720247e-02
1.380000e-01,-3.550864e-01,3.414656e-01,1.346161e-01,3.184102e-02
1.390000e-01,-3.552503e-01,3.429362e-01,1.280922e-01,3.643983e-02
1.400000e-01,-3.553364e-01,3.443305e-01,1.216269e-01,4.101042e-02
1.410000e-01,-3.553708e-01,3.457119e-01,1.151636e-01,4.558859e-02
1.420000e-01,-3.553719e-01,3.471041e-01,1.086332e-01,5.019820e-02
1.430000e-01,-3.553376e-01,3.484655e-01,1.020143e-01,5.482441e-02
1.440000e-01,-3.552480e-01,3.497400e-01,9.534399e-02,5.943295e-02
1.450000e-01,-3.550805e-01,3.508994e-01,8.869756e-02,6.399822e-02
1.460000e-01,-3.548327e-01,3.519660e-01,8.211714e-02,6.852216e-02
1.470000e-01,-3.545250e-01,3.530031e-01,7.556349e-02,7.303808e-02
1.480000e-01,-3.541794e-01,3.540519e-01,6.896324e-02,7.757947e-02
1.490000e-01,-3.537993e-01,3.550847e-01,6.228200e-02,8.214245e-02
1.500000e-01,-3.533707e-01,3.560425e-01,5.554193e-02,8.669319e-02
1.510000e-01,-3.528713e-01,3.568865e-01,4.881288e-02,9.119989e-02
1.520000e-01,-3.522917e-01,3.576245e-01,4.215183e-02,9.565450e-02
1.530000e-01,-3.516457e-01,3.583143e-01,3.553982e-02,1.000845e-01
1.540000e-01,-3.509557e-01,3.590113e-01,2.890472e-02,1.045301e-01
1.550000e-01,-3.502309e-01,3.597056e-01,2.219934e-02,1.090002e-01
1.560000e-01,-3.494629e-01,3.603386e-01,1.543145e-02,1.134645e-01
1.570000e-01,-3.486322e-01,3.608631e-01,8.661519e-03,1.178865e-01
