f_hz,asd_v,beta_f_vw,nep_w,nep_nopnp_w,g_usb,g_lsb,vif_dbv,nf_dsb_db,nf_ssb_db,nf_dsb_nopnp_db
6.296633e+08,8.914561e-09,4.200468e+01,2.122278e-10,9.585045e-11,6.952707e-01,6.964244e-01,-7.504634e+01,4.154205e+01,4.455595e+01,3.463907e+01
7.064813e+08,8.272838e-09,4.104983e+01,2.015316e-10,9.513401e-11,6.640202e-01,6.652566e-01,-7.524606e+01,4.109246e+01,4.410680e+01,3.457349e+01
7.926710e+08,7.607605e-09,3.968617e+01,1.916941e-10,9.454018e-11,6.206361e-01,6.219329e-01,-7.553950e+01,4.065731e+01,4.367215e+01,3.451863e+01
8.893758e+08,6.909396e-09,3.781116e+01,1.827343e-10,9.410272e-11,5.633762e-01,5.646971e-01,-7.595989e+01,4.024103e+01,4.325641e+01,3.447781e+01
9.978784e+08,6.176244e-09,3.535474e+01,1.746936e-10,9.387405e-11,4.925540e-01,4.938499e-01,-7.654334e+01,3.984958e+01,4.286559e+01,3.445606e+01
1.119618e+09,5.417614e-09,3.232309e+01,1.676082e-10,9.391248e-11,4.117032e-01,4.129188e-01,-7.732203e+01,3.948929e+01,4.250599e+01,3.445892e+01
1.256210e+09,4.655316e-09,2.882967e+01,1.614765e-10,9.426213e-11,3.275202e-01,3.286053e-01,-7.831549e+01,3.916483e+01,4.218232e+01,3.449040e+01
1.409466e+09,3.919257e-09,2.508474e+01,1.562407e-10,9.493698e-11,2.479578e-01,2.488797e-01,-7.952410e+01,3.887768e+01,4.189605e+01,3.455147e+01
1.581419e+09,3.239216e-09,2.133877e+01,1.517996e-10,9.592155e-11,1.794309e-01,1.801796e-01,-8.092890e+01,3.862626e+01,4.164561e+01,3.464007e+01
1.774350e+09,2.637017e-09,1.781228e+01,1.480449e-10,9.718834e-11,1.250252e-01,1.256107e-01,-8.249790e+01,3.840764e+01,4.142810e+01,3.475288e+01
1.990818e+09,2.122921e-09,1.465133e+01,1.448961e-10,9.871922e-11,8.458875e-02,8.503332e-02,-8.419475e+01,3.821969e+01,4.124139e+01,3.488735e+01
2.233695e+09,1.696618e-09,1.192142e+01,1.423167e-10,1.005192e-10,5.600347e-02,5.633381e-02,-8.598573e+01,3.806231e+01,4.108540e+01,3.504285e+01
2.506202e+09,1.350678e-09,9.626142e+00,1.403135e-10,1.026200e-10,3.651432e-02,3.675606e-02,-8.784324e+01,3.793764e+01,4.096229e+01,3.522089e+01
2.811955e+09,1.074187e-09,7.731954e+00,1.389282e-10,1.050772e-10,2.355793e-02,2.373299e-02,-8.974650e+01,3.784972e+01,4.087612e+01,3.542461e+01
3.155010e+09,8.554184e-10,6.188461e+00,1.382280e-10,1.079663e-10,1.509121e-02,1.521709e-02,-9.168064e+01,3.780386e+01,4.083224e+01,3.565817e+01
3.539917e+09,6.833811e-10,4.941366e+00,1.382980e-10,1.113775e-10,9.621717e-03,9.711811e-03,-9.363535e+01,3.780605e+01,4.083664e+01,3.592608e+01
3.971782e+09,5.485129e-10,3.939415e+00,1.392371e-10,1.154133e-10,6.115361e-03,6.179644e-03,-9.560365e+01,3.786235e+01,4.089541e+01,3.623269e+01
4.456334e+09,4.428600e-10,3.137419e+00,1.411542e-10,1.201854e-10,3.878857e-03,3.924632e-03,-9.758084e+01,3.797832e+01,4.101417e+01,3.658174e+01
5.000000e+09,3.599898e-10,2.497058e+00,1.441656e-10,1.258131e-10,2.457060e-03,2.489616e-03,-9.956372e+01,3.815852e+01,4.119750e+01,3.697601e+01
