 frequency       s11_db          s22_db          s12_db          s21_db          s11_deg         s22_deg         s12_deg         s21_deg        
 1.25200000e+11 -5.78351262e-01 -5.74740345e-01 -4.55499866e+01 -4.55499866e+01 -1.68840759e+02 -1.73625218e+02 -9.71985771e+01 -9.71985773e+01 
 1.25280000e+11 -5.79806692e-01 -5.76108100e-01 -4.54902077e+01 -4.54902077e+01 -1.68936282e+02 -1.73724127e+02 -9.73943266e+01 -9.73943269e+01 
 1.25360000e+11 -5.81271158e-01 -5.77484548e-01 -4.54301639e+01 -4.54301639e+01 -1.69031969e+02 -1.73823198e+02 -9.75903054e+01 -9.75903056e+01 
 1.25440000e+11 -5.82744752e-01 -5.78869778e-01 -4.53698543e+01 -4.53698543e+01 -1.69127820e+02 -1.73922432e+02 -9.77865167e+01 -9.77865169e+01 
 1.25520000e+11 -5.84227570e-01 -5.80263883e-01 -4.53092778e+01 -4.53092777e+01 -1.69223837e+02 -1.74021831e+02 -9.79829639e+01 -9.79829641e+01 
 1.25600000e+11 -5.85719707e-01 -5.81666957e-01 -4.52484333e+01 -4.52484333e+01 -1.69320022e+02 -1.74121396e+02 -9.81796506e+01 -9.81796509e+01 
 1.25680000e+11 -5.87221260e-01 -5.83079093e-01 -4.51873199e+01 -4.51873199e+01 -1.69416376e+02 -1.74221128e+02 -9.83765804e+01 -9.83765806e+01 
 1.25760000e+11 -5.88732328e-01 -5.84500387e-01 -4.51259365e+01 -4.51259364e+01 -1.69512899e+02 -1.74321028e+02 -9.85737568e+01 -9.85737570e+01 
 1.25840000e+11 -5.90253011e-01 -5.85930938e-01 -4.50642819e+01 -4.50642819e+01 -1.69609594e+02 -1.74421099e+02 -9.87711836e+01 -9.87711838e+01 
 1.25920000e+11 -5.91783409e-01 -5.87370844e-01 -4.50023552e+01 -4.50023552e+01 -1.69706462e+02 -1.74521340e+02 -9.89688646e+01 -9.89688648e+01 
 1.26000000e+11 -5.93323626e-01 -5.88820206e-01 -4.49401552e+01 -4.49401552e+01 -1.69803504e+02 -1.74621755e+02 -9.91668036e+01 -9.91668038e+01 
 1.26080000e+11 -5.94873767e-01 -5.90279125e-01 -4.48776809e+01 -4.48776809e+01 -1.69900721e+02 -1.74722343e+02 -9.93650046e+01 -9.93650048e+01 
 1.26160000e+11 -5.96433938e-01 -5.91747704e-01 -4.48149312e+01 -4.48149312e+01 -1.69998116e+02 -1.74823107e+02 -9.95634715e+01 -9.95634717e+01 
 1.26240000e+11 -5.98004246e-01 -5.93226049e-01 -4.47519050e+01 -4.47519049e+01 -1.70095689e+02 -1.74924047e+02 -9.97622085e+01 -9.97622087e+01 
 1.26320000e+11 -5.99584800e-01 -5.94714267e-01 -4.46886011e+01 -4.46886010e+01 -1.70193442e+02 -1.75025166e+02 -9.99612197e+01 -9.99612199e+01 
 1.26400000e+11 -6.01175712e-01 -5.96212464e-01 -4.46250185e+01 -4.46250184e+01 -1.70291376e+02 -1.75126465e+02 -1.00160509e+02 -1.00160510e+02 
 1.26480000e+11 -6.02777094e-01 -5.97720752e-01 -4.45611560e+01 -4.45611559e+01 -1.70389493e+02 -1.75227944e+02 -1.00360082e+02 -1.00360082e+02 
 1.26560000e+11 -6.04389060e-01 -5.99239241e-01 -4.44970125e+01 -4.44970124e+01 -1.70487794e+02 -1.75329606e+02 -1.00559941e+02 -1.00559941e+02 
 1.26640000e+11 -6.06011726e-01 -6.00768045e-01 -4.44325868e+01 -4.44325868e+01 -1.70586281e+02 -1.75431453e+02 -1.00760092e+02 -1.00760093e+02 
 1.26720000e+11 -6.07645211e-01 -6.02307279e-01 -4.43678779e+01 -4.43678779e+01 -1.70684955e+02 -1.75533484e+02 -1.00960540e+02 -1.00960540e+02 
 1.26800000e+11 -6.09289633e-01 -6.03857059e-01 -4.43028846e+01 -4.43028845e+01 -1.70783818e+02 -1.75635703e+02 -1.01161288e+02 -1.01161288e+02 
 1.26880000e+11 -6.10945116e-01 -6.05417504e-01 -4.42376056e+01 -4.42376056e+01 -1.70882872e+02 -1.75738111e+02 -1.01362342e+02 -1.01362342e+02 
 1.26960000e+11 -6.12611781e-01 -6.06988734e-01 -4.41720398e+01 -4.41720398e+01 -1.70982118e+02 -1.75840709e+02 -1.01563706e+02 -1.01563706e+02 
 1.27040000e+11 -6.14289754e-01 -6.08570871e-01 -4.41061861e+01 -4.41061861e+01 -1.71081557e+02 -1.75943498e+02 -1.01765385e+02 -1.01765385e+02 
 1.27120000e+11 -6.15979163e-01 -6.10164041e-01 -4.40400433e+01 -4.40400432e+01 -1.71181191e+02 -1.76046481e+02 -1.01967385e+02 -1.01967385e+02 
 1.27200000e+11 -6.17680137e-01 -6.11768368e-01 -4.39736101e+01 -4.39736100e+01 -1.71281022e+02 -1.76149658e+02 -1.02169710e+02 -1.02169710e+02 
 1.27280000e+11 -6.19392807e-01 -6.13383981e-01 -4.39068853e+01 -4.39068853e+01 -1.71381051e+02 -1.76253032e+02 -1.02372365e+02 -1.02372365e+02 
 1.27360000e+11 -6.21117307e-01 -6.15011011e-01 -4.38398678e+01 -4.38398677e+01 -1.71481281e+02 -1.76356604e+02 -1.02575356e+02 -1.02575357e+02 
 1.27440000e+11 -6.22853773e-01 -6.16649589e-01 -4.37725562e+01 -4.37725562e+01 -1.71581712e+02 -1.76460376e+02 -1.02778689e+02 -1.02778689e+02 
 1.27520000e+11 -6.24602342e-01 -6.18299850e-01 -4.37049494e+01 -4.37049494e+01 -1.71682347e+02 -1.76564349e+02 -1.02982368e+02 -1.02982368e+02 
 1.27600000e+11 -6.26363154e-01 -6.19961931e-01 -4.36370462e+01 -4.36370462e+01 -1.71783186e+02 -1.76668526e+02 -1.03186398e+02 -1.03186399e+02 
 1.27680000e+11 -6.28136352e-01 -6.21635970e-01 -4.35688452e+01 -4.35688452e+01 -1.71884233e+02 -1.76772907e+02 -1.03390787e+02 -1.03390787e+02 
 1.27760000e+11 -6.29922080e-01 -6.23322109e-01 -4.35003452e+01 -4.35003452e+01 -1.71985488e+02 -1.76877494e+02 -1.03595539e+02 -1.03595539e+02 
 1.27840000e+11 -6.31720486e-01 -6.25020491e-01 -4.34315449e+01 -4.34315449e+01 -1.72086953e+02 -1.76982290e+02 -1.03800660e+02 -1.03800661e+02 
 1.27920000e+11 -6.33531719e-01 -6.26731262e-01 -4.33624431e+01 -4.33624430e+01 -1.72188630e+02 -1.77087295e+02 -1.04006157e+02 -1.04006157e+02 
