        f (GHz),            I_inc[1][1] (A),            Re{I[1][1]} (A),            Im{I[1][1]} (A),            Re{I[2][1]} (A),            Im{I[2][1]} (A),            I_inc[2][2] (A),            Re{I[1][2]} (A),            Im{I[1][2]} (A),            Re{I[2][2]} (A),            Im{I[2][2]} (A)
 1.39200000e+02,        +1.414213562373e-01,        +2.258508651390e-02,        +3.305542809740e-02,        -3.739169582878e-03,        -2.685542427190e-03,        +1.414213562373e-01,        -3.739169582947e-03,        -2.685542427173e-03,        +2.261401391358e-02,        +3.306688382350e-02
 1.40800000e+02,        +1.414213562373e-01,        +2.774286131208e-02,        +3.929843852241e-02,        -5.703354086057e-03,        -2.784437121265e-03,        +1.414213562373e-01,        -5.703354086034e-03,        -2.784437121301e-03,        +2.778503128321e-02,        +3.931790419773e-02
 1.42400000e+02,        +1.414213562373e-01,        +3.481660586718e-02,        +4.499905070834e-02,        -8.759093518226e-03,        -2.139494429047e-03,        +1.414213562373e-01,        -8.759093518254e-03,        -2.139494429119e-03,        +3.487732500609e-02,        +4.502356670905e-02
 1.44000000e+02,        +1.414213562373e-01,        +4.421396454958e-02,        +4.877070071054e-02,        -1.308836541056e-02,        +5.881034437988e-04,        +1.414213562373e-01,        -1.308836541052e-02,        +5.881034437896e-04,        +4.429841588029e-02,        +4.879241234741e-02
 1.45600000e+02,        +1.414213562373e-01,        +5.474323376563e-02,        +4.806536715134e-02,        -1.718814034001e-02,        +7.831332849298e-03,        +1.414213562373e-01,        -1.718814033996e-02,        +7.831332849265e-03,        +5.484991160603e-02,        +4.806949548629e-02
 1.47200000e+02,        +1.414213562373e-01,        +6.132698956683e-02,        +4.225389496844e-02,        -1.555643806729e-02,        +1.996395901307e-02,        +1.414213562373e-01,        -1.555643806733e-02,        +1.996395901297e-02,        +6.143702114601e-02,        +4.222952611349e-02
 1.48800000e+02,        +1.414213562373e-01,        +6.084990628169e-02,        +3.816344872967e-02,        -4.541262370210e-03,        +2.962672627909e-02,        +1.414213562373e-01,        -4.541262370478e-03,        +2.962672627925e-02,        +6.094212463981e-02,        +3.812618648051e-02
 1.50400000e+02,        +1.414213562373e-01,        +5.988184147961e-02,        +4.051971765079e-02,        +9.865115148446e-03,        +3.106061356323e-02,        +1.414213562373e-01,        +9.865115148613e-03,        +3.106061356335e-02,        +5.996299092330e-02,        +4.049378518236e-02
 1.52000000e+02,        +1.414213562373e-01,        +6.363975678562e-02,        +4.529314821745e-02,        +2.275830317508e-02,        +2.636961242961e-02,        +1.414213562373e-01,        +2.275830317499e-02,        +2.636961242974e-02,        +6.373067433554e-02,        +4.528344398468e-02
 1.53600000e+02,        +1.414213562373e-01,        +7.169571030290e-02,        +4.765290274394e-02,        +3.357996253602e-02,        +1.721376454375e-02,        +1.414213562373e-01,        +3.357996253604e-02,        +1.721376454370e-02,        +7.181213920754e-02,        +4.764767074001e-02
 1.55200000e+02,        +1.414213562373e-01,        +8.084039383554e-02,        +4.466669376821e-02,        +4.110390981136e-02,        +3.055963606157e-03,        +1.414213562373e-01,        +4.110390981154e-02,        +3.055963606326e-03,        +8.098539296378e-02,        +4.464489351606e-02
 1.56800000e+02,        +1.414213562373e-01,        +8.596488207460e-02,        +3.651021280350e-02,        +4.149394532618e-02,        -1.532933008423e-02,        +1.414213562373e-01,        +4.149394532619e-02,        -1.532933008402e-02,        +8.612254825547e-02,        +3.645220806479e-02
 1.58400000e+02,        +1.414213562373e-01,        +8.357053634093e-02,        +2.844740496850e-02,        +3.178880727404e-02,        -3.248900197500e-02,        +1.414213562373e-01,        +3.178880727411e-02,        -3.248900197499e-02,        +8.371181438030e-02,        +2.835347709174e-02
 1.60000000e+02,        +1.414213562373e-01,        +7.681190949716e-02,        +2.663068757816e-02,        +1.524952601664e-02,        -4.199467872698e-02,        +1.414213562373e-01,        +1.524952601680e-02,        -4.199467872695e-02,        +7.691915739200e-02,        +2.652459107524e-02
 1.61600000e+02,        +1.414213562373e-01,        +7.199693956804e-02,        +3.132621027368e-02,        -1.912856359555e-03,        -4.298475146701e-02,        +1.414213562373e-01,        -1.912856359604e-03,        -4.298475146712e-02,        +7.207591823135e-02,        +3.123362544069e-02
 1.63200000e+02,        +1.414213562373e-01,        +7.223941564587e-02,        +3.864778545559e-02,        -1.662039685133e-02,        -3.819211415512e-02,        +1.414213562373e-01,        -1.662039685148e-02,        -3.819211415477e-02,        +7.230774235527e-02,        +3.858106703381e-02
 1.64800000e+02,        +1.414213562373e-01,        +7.725728921137e-02,        +4.478733804479e-02,        -2.855665290851e-02,        -2.947645707762e-02,        +1.414213562373e-01,        -2.855665290872e-02,        -2.947645707767e-02,        +7.733228199183e-02,        +4.474625587199e-02
 1.66400000e+02,        +1.414213562373e-01,        +8.493464229683e-02,        +4.708621361713e-02,        -3.737356709636e-02,        -1.697559896998e-02,        +1.414213562373e-01,        -3.737356709642e-02,        -1.697559896993e-02,        +8.502797726586e-02,        +4.706283337029e-02
 1.68000000e+02,        +1.414213562373e-01,        +9.155491511148e-02,        +4.453660183942e-02,        -4.091662566524e-02,        -7.460974351214e-04,        +1.414213562373e-01,        -4.091662566548e-02,        -7.460974349822e-04,        +9.166994998788e-02,        +4.452050575083e-02
 1.69600000e+02,        +1.414213562373e-01,        +9.289856187375e-02,        +3.977355119000e-02,        -3.598024951994e-02,        +1.621843569265e-02,        +1.414213562373e-01,        -3.598024951997e-02,        +1.621843569271e-02,        +9.303118771483e-02,        +3.975959904707e-02
 1.71200000e+02,        +1.414213562373e-01,        +8.889431137983e-02,        +3.899869300057e-02,        -2.308870059769e-02,        +2.755923507558e-02,        +1.414213562373e-01,        -2.308870059774e-02,        +2.755923507562e-02,        +8.904278496497e-02,        +3.899197028725e-02
 1.72800000e+02,        +1.414213562373e-01,        +8.537796120748e-02,        +4.543158975156e-02,        -8.426171260024e-03,        +2.989843780809e-02,        +1.414213562373e-01,        -8.426171259972e-03,        +2.989843780828e-02,        +8.555287454535e-02,        +4.543839043387e-02
 1.74400000e+02,        +1.414213562373e-01,        +8.745446917167e-02,        +5.609587072776e-02,        +2.671735840442e-03,        +2.597482781087e-02,        +1.414213562373e-01,        +2.671735840531e-03,        +2.597482781089e-02,        +8.767371441870e-02,        +5.611131599242e-02
 1.76000000e+02,        +1.414213562373e-01,        +9.585068497975e-02,        +6.662506651669e-02,        +9.260582698213e-03,        +1.980957411266e-02,        +1.414213562373e-01,        +9.260582698329e-03,        +1.980957411255e-02,        +9.612885448971e-02,        +6.663206363726e-02
 1.77600000e+02,        +1.414213562373e-01,        +1.091361707172e-01,        +7.435652388085e-02,        +1.247158502642e-02,        +1.362090603245e-02,        +1.414213562373e-01,        +1.247158502631e-02,        +1.362090603243e-02,        +1.094791726378e-01,        +7.433041317113e-02
 1.79200000e+02,        +1.414213562373e-01,        +1.256545616708e-01,        +7.802581860593e-02,        +1.349666528232e-02,        +8.174803139978e-03,        +1.414213562373e-01,        +1.349666528225e-02,        +8.174803140100e-03,        +1.260575688151e-01,        +7.793864273708e-02
 1.80800000e+02,        +1.414213562373e-01,        +1.439280736993e-01,        +7.699775157565e-02,        +1.311997655294e-02,        +3.638705673923e-03,        +1.414213562373e-01,        +1.311997655311e-02,        +3.638705674033e-03,        +1.443742298696e-01,        +7.682239853212e-02
 1.82400000e+02,        +1.414213562373e-01,        +1.625357496841e-01,        +7.095019457667e-02,        +1.181597559265e-02,        +2.235240163642e-05,        +1.414213562373e-01,        +1.181597559265e-02,        +2.235240165534e-05,        +1.629959422966e-01,        +7.066562705425e-02
 1.84000000e+02,        +1.414213562373e-01,        +1.800005768062e-01,        +5.987856040761e-02,        +9.908284909161e-03,        -2.678735222089e-03,        +1.414213562373e-01,        +9.908284909126e-03,        -2.678735222297e-03,        +1.804358126313e-01,        +5.947593335462e-02
 1.85600000e+02,        +1.414213562373e-01,        +1.948226429123e-01,        +4.421306152242e-02,        +7.673177632316e-03,        -4.472420716301e-03,        +1.414213562373e-01,        +7.673177632213e-03,        -4.472420716387e-03,        +1.951901476539e-01,        +4.370085748386e-02
 1.87200000e+02,        +1.414213562373e-01,        +2.056560444535e-01,        +2.489958481921e-02,        +5.377731174782e-03,        -5.404490280851e-03,        +1.414213562373e-01,        +5.377731175026e-03,        -5.404490280752e-03,        +2.059184230333e-01,        +2.430497592653e-02
 1.88800000e+02,        +1.414213562373e-01,        +2.115559071149e-01,        +3.345994469693e-03,        +3.265920818499e-03,        -5.589752321953e-03,        +1.414213562373e-01,        +3.265920818564e-03,        -5.589752322032e-03,        +2.116904027329e-01,        +2.710508448535e-03
 1.90400000e+02,        +1.414213562373e-01,        +2.121779002626e-01,        -1.879054507151e-02,        +1.519672426728e-03,        -5.211914697136e-03,        +1.414213562373e-01,        +1.519672426752e-03,        -5.211914697341e-03,        +2.121817766167e-01,        -1.942025143342e-02
 1.92000000e+02,        +1.414213562373e-01,        +2.078268988028e-01,        -3.990853017541e-02,        +2.281419103649e-04,        -4.489276449553e-03,        +1.414213562373e-01,        +2.281419107062e-04,        -4.489276449852e-03,        +2.077165578933e-01,        -4.049117499361e-02
 1.93600000e+02,        +1.414213562373e-01,        +1.993299007630e-01,        -5.873860945439e-02,        -6.131889300277e-04,        -3.626334999783e-03,        +1.414213562373e-01,        -6.131889299107e-04,        -3.626334999543e-03,        +1.991346216175e-01,        -5.924586302236e-02
 1.95200000e+02,        +1.414213562373e-01,        +1.877981964523e-01,        -7.449378908965e-02,        -1.075262728435e-03,        -2.777073136794e-03,        +1.414213562373e-01,        -1.075262728260e-03,        -2.777073136929e-03,        +1.875518066335e-01,        -7.491275392414e-02
 1.96800000e+02,        +1.414213562373e-01,        +1.743815763151e-01,        -8.687116224134e-02,        -1.257769398256e-03,        -2.032778415576e-03,        +1.414213562373e-01,        -1.257769398281e-03,        -2.032778415553e-03,        +1.741154048143e-01,        -8.720237528886e-02
 1.98400000e+02,        +1.414213562373e-01,        +1.600908481246e-01,        -9.594991247445e-02,        -1.258335470932e-03,        -1.430593328817e-03,        +1.414213562373e-01,        -1.258335470972e-03,        -1.430593328789e-03,        +1.598296364585e-01,        -9.620305022463e-02
 2.00000000e+02,        +1.414213562373e-01,        +1.457116639440e-01,        -1.020518919087e-01,        -1.155781376661e-03,        -9.713015418943e-04,        +1.414213562373e-01,        -1.155781376674e-03,        -9.713015418688e-04,        +1.454723560132e-01,        -1.022412821755e-01
 2.01600000e+02,        +1.414213562373e-01,        +1.317925400153e-01,        -1.056149045952e-01,        -1.005683732436e-03,        -6.366509167611e-04,        +1.414213562373e-01,        -1.005683732302e-03,        -6.366509169954e-04,        +1.315849743984e-01,        -1.057560377073e-01
 2.03200000e+02,        +1.414213562373e-01,        +1.186759630630e-01,        -1.071011934873e-01,        -8.430502168210e-04,        -4.017566417034e-04,        +1.414213562373e-01,        -8.430502167507e-04,        -4.017566416908e-04,        +1.185044212102e-01,        -1.072085393150e-01
 2.04800000e+02,        +1.414213562373e-01,        +1.065456610910e-01,        -1.069427393105e-01,        -6.875466143349e-04,        -2.421935449392e-04,        +1.414213562373e-01,        -6.875466142531e-04,        -2.421935450048e-04,        +1.064105453264e-01,        -1.070286722342e-01
 2.06400000e+02,        +1.414213562373e-01,        +9.547341578841e-02,        -1.055151758034e-01,        -5.486369441822e-04,        -1.371581859483e-04,        +1.414213562373e-01,        -5.486369442138e-04,        -1.371581858131e-04,        +9.537268996523e-02,        -1.055896522543e-01
 2.08000000e+02,        +1.414213562373e-01,        +8.545789804543e-02,        -1.031302637942e-01,        -4.296028488846e-04,        -7.029713539608e-05,        +1.414213562373e-01,        -4.296028489308e-04,        -7.029713544390e-05,        +8.538817481849e-02,        -1.032009287793e-01
 2.09600000e+02,        +1.414213562373e-01,        +7.645372415907e-02,        -1.000386745647e-01,        -3.303103032757e-04,        -2.939513605665e-05,        +1.414213562373e-01,        -3.303103034486e-04,        -2.939513619242e-05,        +7.641101522262e-02,        -1.001111672517e-01
 2.11200000e+02,        +1.414213562373e-01,        +6.839169817804e-02,        -9.643749992031e-02,        -2.489532673794e-04,        -5.641829788229e-06,        +1.414213562373e-01,        -2.489532674790e-04,        -5.641829778166e-06,        +6.837189443096e-02,        -9.651581879905e-02
 2.12800000e+02,        +1.414213562373e-01,        +6.119213526499e-02,        -9.247918609320e-02,        -1.830751001726e-04,        +7.156772741678e-06,        +1.414213562373e-01,        -1.830751000508e-04,        +7.156772754098e-06,        +6.119129099089e-02,        -9.256604025187e-02
 2.14400000e+02,        +1.414213562373e-01,        +5.477317650920e-02,        -8.828017029964e-02,        -1.301237413187e-04,        +1.326823663045e-05,        +1.414213562373e-01,        -1.301237413349e-04,        +1.326823665313e-05,        +5.478766072642e-02,        -8.837728471832e-02
