        f (GHz),            I_inc[1][1] (A),            Re{I[1][1]} (A),            Im{I[1][1]} (A),            Re{I[2][1]} (A),            Im{I[2][1]} (A),            Re{I[3][1]} (A),            Im{I[3][1]} (A),            I_inc[2][2] (A),            Re{I[1][2]} (A),            Im{I[1][2]} (A),            Re{I[2][2]} (A),            Im{I[2][2]} (A),            Re{I[3][2]} (A),            Im{I[3][2]} (A),            I_inc[3][3] (A),            Re{I[1][3]} (A),            Im{I[1][3]} (A),            Re{I[2][3]} (A),            Im{I[2][3]} (A),            Re{I[3][3]} (A),            Im{I[3][3]} (A)
 1.13600000e+02,        +1.414213562373e-01,        +1.251046479524e-01,        +5.468848999952e-03,        +3.691042445423e-02,        -7.678984820977e-02,        +3.691516969115e-02,        -7.678084684491e-02,        +1.414213562373e-01,        +3.691042445423e-02,        -7.678984820977e-02,        +2.068137118510e-01,        +2.665648470437e-02,        -3.686322161007e-02,        -4.489119259550e-02,        +1.414213562373e-01,        +3.691516969115e-02,        -7.678084684491e-02,        -3.686322161007e-02,        -4.489119259550e-02,        +2.068157468616e-01,        +2.673111210255e-02
 1.15200000e+02,        +1.414213562373e-01,        +1.252609813765e-01,        +5.311177858047e-03,        +3.568351272475e-02,        -7.736954502300e-02,        +3.568843864420e-02,        -7.736023955286e-02,        +1.414213562373e-01,        +3.568351272475e-02,        -7.736954502300e-02,        +2.076353638649e-01,        +2.573256050942e-02,        -3.815553688406e-02,        -4.370386466003e-02,        +1.414213562373e-01,        +3.568843864420e-02,        -7.736023955286e-02,        -3.815553688406e-02,        -4.370386466003e-02,        +2.076379646770e-01,        +2.580857080702e-02
 1.16800000e+02,        +1.414213562373e-01,        +1.254122965905e-01,        +5.148595999826e-03,        +3.444692263036e-02,        -7.792950278593e-02,        +3.445204707471e-02,        -7.791988564043e-02,        +1.414213562373e-01,        +3.444692263036e-02,        -7.792950278593e-02,        +2.084286775129e-01,        +2.478811700339e-02,        -3.941012742931e-02,        -4.248162555856e-02,        +1.414213562373e-01,        +3.445204707471e-02,        -7.791988564043e-02,        -3.941012742931e-02,        -4.248162555856e-02,        +2.084318728653e-01,        +2.486550559520e-02
 1.18400000e+02,        +1.414213562373e-01,        +1.255584482768e-01,        +4.981243735487e-03,        +3.320097554963e-02,        -7.846953145834e-02,        +3.320631730964e-02,        -7.845959575133e-02,        +1.414213562373e-01,        +3.320097554963e-02,        -7.846953145834e-02,        +2.091932886433e-01,        +2.382401490768e-02,        -4.062617823840e-02,        -4.122562988639e-02,        +1.414213562373e-01,        +3.320631730964e-02,        -7.845959575133e-02,        -4.062617823840e-02,        -4.122562988639e-02,        +2.091971073262e-01,        +2.390277611962e-02
 1.20000000e+02,        +1.414213562373e-01,        +1.256992947976e-01,        +4.809265779605e-03,        +3.194599783019e-02,        -7.898944645259e-02,        +3.195157662666e-02,        -7.897918604601e-02,        +1.414213562373e-01,        +3.194599783019e-02,        -7.898944645259e-02,        +2.099288560327e-01,        +2.284111232347e-02,        -4.180290634805e-02,        -3.993704411355e-02,        +1.414213562373e-01,        +3.195157662666e-02,        -7.897918604601e-02,        -4.180290634805e-02,        -3.993704411355e-02,        +2.099333268413e-01,        +2.292123940756e-02
 1.21600000e+02,        +1.414213562373e-01,        +1.258346983462e-01,        +4.632811159609e-03,        +3.068232068356e-02,        -7.948906880422e-02,        +3.068815714548e-02,        -7.947847837195e-02,        +1.414213562373e-01,        +3.068232068356e-02,        -7.948906880422e-02,        +2.106350606354e-01,        +2.184026433219e-02,        -4.293956057672e-02,        -3.861704591109e-02,        +1.414213562373e-01,        +3.068815714548e-02,        -7.947847837195e-02,        -4.293956057672e-02,        -3.861704591110e-02,        +2.106402123232e-01,        +2.192174946366e-02
 1.23200000e+02,        +1.414213562373e-01,        +1.259645250965e-01,        +4.452033118198e-03,        +2.941028007310e-02,        -7.996822533991e-02,        +2.941639571253e-02,        -7.995730043136e-02,        +1.414213562373e-01,        +2.941028007310e-02,        -7.996822533991e-02,        +2.113116048390e-01,        +2.082232264789e-02,        -4.403542126106e-02,        -3.726682351122e-02,        +1.414213562373e-01,        +2.941639571253e-02,        -7.995730043136e-02,        -4.403542126106e-02,        -3.726682351122e-02,        +2.113174660708e-01,        +2.090515692430e-02
 1.24800000e+02,        +1.414213562373e-01,        +1.260886453489e-01,        +4.267089009759e-03,        +2.813021659530e-02,        -8.042674884279e-02,        +2.813663377882e-02,        -8.041548594597e-02,        +1.414213562373e-01,        +2.813021659530e-02,        -8.042674884279e-02,        +2.119582117290e-01,        +1.978813532024e-02,        -4.508979999275e-02,        -3.588757510029e-02,        +1.414213562373e-01,        +2.813663377882e-02,        -8.041548594597e-02,        -4.508979999275e-02,        -3.588757510029e-02,        +2.119648110344e-01,        +1.987230876272e-02
 1.26400000e+02,        +1.414213562373e-01,        +1.262069336746e-01,        +4.078140190901e-03,        +2.684247535436e-02,        -8.086447821455e-02,        +2.684921727111e-02,        -8.085287481855e-02,        +1.414213562373e-01,        +2.684247535436e-02,        -8.086447821455e-02,        +2.125746243640e-01,        +1.873854648720e-02,        -4.610203935747e-02,        -3.448050824394e-02,        +1.414213562373e-01,        +2.684921727111e-02,        -8.085287481855e-02,        -4.610203935747e-02,        -3.448050824394e-02,        +2.125819900909e-01,        +1.882404804375e-02
 1.28000000e+02,        +1.414213562373e-01,        +1.263192690554e-01,        +3.885351905182e-03,        +2.554740583027e-02,        -8.128125863419e-02,        +2.555449645669e-02,        -8.126931329103e-02,        +1.414213562373e-01,        +2.554740583027e-02,        -8.128125863419e-02,        +2.131606050654e-01,        +1.767439617606e-02,        -4.707151267716e-02,        -3.304683934325e-02,        +1.414213562373e-01,        +2.555449645669e-02,        -8.126931329103e-02,        -4.707151267716e-02,        -3.304683934325e-02,        +2.131687653332e-01,        +1.776121372693e-02
 1.29600000e+02,        +1.414213562373e-01,        +1.264255350211e-01,        +3.688893162164e-03,        +2.424536174035e-02,        -8.167694171311e-02,        +2.425282580153e-02,        -8.166465409876e-02,        +1.414213562373e-01,        +2.424536174035e-02,        -8.167694171311e-02,        +2.137159347208e-01,        +1.659652015173e-02,        -4.799762375715e-02,        -3.158779312108e-02,        +1.414213562373e-01,        +2.425282580153e-02,        -8.166465409876e-02,        -4.799762375715e-02,        -3.158779312108e-02,        +2.137249173744e-01,        +1.668464051694e-02
 1.31200000e+02,        +1.414213562373e-01,        +1.265256197824e-01,        +3.488936610911e-03,        +2.293670089464e-02,        -8.205138564621e-02,        +2.294456382225e-02,        -8.203875662072e-02,        +1.414213562373e-01,        +2.293670089464e-02,        -8.205138564621e-02,        +2.142404121062e-01,        +1.550574981116e-02,        -4.887980663937e-02,        -3.010460213784e-02,        +1.414213562373e-01,        +2.294456382225e-02,        -8.203875662072e-02,        -4.887980663937e-02,        -3.010460213784e-02,        +2.142502446704e-01,        +1.559515876003e-02
