        f (GHz),             |S[1][1]| (dB),        arg(S[1][1]) (deg.),             |S[2][1]| (dB),        arg(S[2][1]) (deg.),             |S[3][1]| (dB),        arg(S[3][1]) (deg.),             |S[1][2]| (dB),        arg(S[1][2]) (deg.),             |S[2][2]| (dB),        arg(S[2][2]) (deg.),             |S[3][2]| (dB),        arg(S[3][2]) (deg.),             |S[1][3]| (dB),        arg(S[1][3]) (deg.),             |S[2][3]| (dB),        arg(S[2][3]) (deg.),             |S[3][3]| (dB),        arg(S[3][3]) (deg.)
 1.36000000e+02,        -1.953936612254e+01,        +1.689043095175e+02,        -4.402926294473e+00,        -7.712977158403e+01,        -4.404072122281e+00,        -7.712168368624e+01,        -4.402926294473e+00,        -7.712977158403e+01,        -5.486400811856e+00,        +9.309537774878e+00,        -7.853227541051e+00,        -1.535299890564e+02,        -4.404072122281e+00,        -7.712168368624e+01,        -7.853227541051e+00,        -1.535299890564e+02,        -5.483224043299e+00,        +9.378031243910e+00
 1.37600000e+02,        -1.960514682930e+01,        +1.696549158506e+02,        -4.403407440494e+00,        -7.804608367772e+01,        -4.404594521032e+00,        -7.803773845034e+01,        -4.403407440494e+00,        -7.804608367772e+01,        -5.461030629206e+00,        +8.410137831780e+00,        -7.860054513752e+00,        -1.552482964562e+02,        -4.404594521032e+00,        -7.803773845034e+01,        -7.860054513752e+00,        -1.552482964562e+02,        -5.457896395311e+00,        +8.479562055023e+00
 1.39200000e+02,        -1.966627336253e+01,        +1.704311517028e+02,        -4.403946569666e+00,        -7.896260016558e+01,        -4.405175136851e+00,        -7.895398661549e+01,        -4.403946569666e+00,        -7.896260016558e+01,        -5.437344455868e+00,        +7.512708031418e+00,        -7.866598523304e+00,        -1.569660899913e+02,        -4.405175136851e+00,        -7.895398661549e+01,        -7.866598523304e+00,        -1.569660899913e+02,        -5.434253602437e+00,        +7.583062657436e+00
 1.40800000e+02,        -1.972245497065e+01,        +1.712316054579e+02,        -4.404544886408e+00,        -7.987931098425e+01,        -4.405815122344e+00,        -7.987041788478e+01,        -4.404544886408e+00,        -7.987931098425e+01,        -5.415324284793e+00,        +6.617129864546e+00,        -7.872859101357e+00,        -1.586834195680e+02,        -4.405815122345e+00,        -7.987041788478e+01,        -7.872859101357e+00,        -1.586834195680e+02,        -5.412277693813e+00,        +6.688414556084e+00
 1.42400000e+02,        -1.977341219537e+01,        +1.720546793265e+02,        -4.405203546806e+00,        -8.079620584709e+01,        -4.406515579636e+00,        -8.078702174358e+01,        -4.405203546806e+00,        -8.079620584709e+01,        -5.394953542017e+00,        +5.723285992071e+00,        -7.878836007528e+00,        -1.604003349844e+02,        -4.406515579636e+00,        -8.078702174358e+01,        -7.878836007528e+00,        -1.604003349844e+02,        -5.391952133176e+00,        +5.795500430727e+00
 1.44000000e+02,        -1.981888026148e+01,        +1.728985927270e+02,        -4.405923657883e+00,        -8.171327425328e+01,        -4.407277559567e+00,        -8.170378746906e+01,        -4.405923657883e+00,        -8.171327425328e+01,        -5.376217067587e+00,        +4.831060216522e+00,        -7.884529236419e+00,        -1.621168858943e+02,        -4.407277559567e+00,        -8.170378746906e+01,        -7.884529236419e+00,        -1.621168858943e+02,        -5.373261799795e+00,        +4.904204107759e+00
 1.45600000e+02,        -1.985861249197e+01,        +1.737613888649e+02,        -4.406706276913e+00,        -8.263050549698e+01,        -4.408102060932e+00,        -8.262070413998e+01,        -4.406706276913e+00,        -8.263050549698e+01,        -5.359101099097e+00,        +3.940337466207e+00,        -7.889939025344e+00,        -1.638331217651e+02,        -4.408102060932e+00,        -8.262070413998e+01,        -7.889939025344e+00,        -1.638331217651e+02,        -5.356192972003e+00,        +4.014410544678e+00
 1.47200000e+02,        -1.989238366770e+01,        +1.746409446369e+02,        -4.407552410765e+00,        -8.354788867670e+01,        -4.408990029733e+00,        -8.353776064651e+01,        -4.407552410765e+00,        -8.354788867670e+01,        -5.343593257730e+00,        +3.051003792575e+00,        -7.895065862822e+00,        -1.655490918318e+02,        -4.408990029734e+00,        -8.353776064651e+01,        -7.895065862822e+00,        -1.655490918318e+02,        -5.340733313239e+00,        +3.126005827755e+00
 1.48800000e+02,        -1.991999324452e+01,        +1.755349838782e+02,        -4.408463015286e+00,        -8.446541270472e+01,        -4.409942358482e+00,        -8.445494570033e+01,        -4.408463015286e+00,        -8.446541270472e+01,        -5.329682536697e+00,        +2.162946381470e+00,        -7.899910497880e+00,        -1.672648450418e+02,        -4.409942358482e+00,        -8.445494570033e+01,        -7.899910497880e+00,        -1.672648450418e+02,        -5.326871860486e+00,        +2.238877183552e+00
 1.50400000e+02,        -1.994126833841e+01,        +1.764410938619e+02,        -4.409438994730e+00,        -8.538306631656e+01,        -4.410959885516e+00,        -8.537224784486e+01,        -4.409438994730e+00,        -8.538306631656e+01,        -5.317359291972e+00,        +1.276053579146e+00,        -7.904473950221e+00,        -1.689804299932e+02,        -4.410959885516e+00,        -8.537224784486e+01,        -7.904473950221e+00,        -1.689804299932e+02,        -5.314599014996e+00,        +1.352913005192e+00
 1.52000000e+02,        -1.995606638994e+01,        +1.773567448368e+02,        -4.410481201222e+00,        -8.630083808057e+01,        -4.412043394364e+00,        -8.628965546565e+01,        -4.410481201222e+00,        -8.630083808057e+01,        -5.306615235194e+00,        +3.902149341805e-01,        -7.908757521291e+00,        -1.706958948625e+02,        -4.412043394364e+00,        -8.628965546565e+01,        -7.908757521291e+00,        -1.706958948625e+02,        -5.303906535189e+00,        +4.680028944717e-01
 1.53600000e+02,        -1.996427742525e+01,        +1.782793122692e+02,        -4.411590434264e+00,        -8.721871640754e+01,        -4.413193613130e+00,        -8.720715680090e+01,        -4.411590434264e+00,        -8.721871640754e+01,        -5.297443428633e+00,        -4.946787434035e-01,        -7.912762806276e+00,        -1.724112873213e+02,        -4.413193613131e+00,        -8.720715680090e+01,        -7.912762806276e+00,        -1.724112873213e+02,        -5.294787531607e+00,        -4.159622788533e-01
