        f (GHz),            V_inc[1][1] (V),            Re{V[1][1]} (V),            Im{V[1][1]} (V),            Re{V[2][1]} (V),            Im{V[2][1]} (V),            Re{V[3][1]} (V),            Im{V[3][1]} (V),            V_inc[2][2] (V),            Re{V[1][2]} (V),            Im{V[1][2]} (V),            Re{V[2][2]} (V),            Im{V[2][2]} (V),            Re{V[3][2]} (V),            Im{V[3][2]} (V),            V_inc[3][3] (V),            Re{V[1][3]} (V),            Im{V[1][3]} (V),            Re{V[2][3]} (V),            Im{V[2][3]} (V),            Re{V[3][3]} (V),            Im{V[3][3]} (V)
 1.13600000e+02,        +7.071067811865e+00,        +6.255232317018e+00,        +2.734424066786e-01,        +1.845521264162e+00,        -3.839492319813e+00,        +1.845758549385e+00,        -3.839042397320e+00,        +7.071067811865e+00,        +1.845521264162e+00,        -3.839492319813e+00,        +1.034068555648e+01,        +1.332824241171e+00,        -1.843161101942e+00,        -2.244559747272e+00,        +7.071067811865e+00,        +1.845758549385e+00,        -3.839042397320e+00,        -1.843161101942e+00,        -2.244559747272e+00,        +1.034078728413e+01,        +1.336555792044e+00
 1.15200000e+02,        +7.071067811865e+00,        +6.263048985691e+00,        +2.655588517907e-01,        +1.784175680925e+00,        -3.868477160647e+00,        +1.784421996280e+00,        -3.868012033450e+00,        +7.071067811865e+00,        +1.784175680925e+00,        -3.868477160647e+00,        +1.038176815670e+01,        +1.286628029065e+00,        -1.907776869612e+00,        -2.185193349359e+00,        +7.071067811865e+00,        +1.784421996280e+00,        -3.868012033450e+00,        -1.907776869612e+00,        -2.185193349359e+00,        +1.038189818105e+01,        +1.290428727355e+00
 1.16800000e+02,        +7.071067811865e+00,        +6.270614744295e+00,        +2.574297613154e-01,        +1.722346179229e+00,        -3.896475049429e+00,        +1.722602416748e+00,        -3.895994338211e+00,        +7.071067811865e+00,        +1.722346179229e+00,        -3.896475049429e+00,        +1.042143383852e+01,        +1.239405851270e+00,        -1.970506400615e+00,        -2.124081392441e+00,        +7.071067811865e+00,        +1.722602416748e+00,        -3.895994338211e+00,        -1.970506400615e+00,        -2.124081392441e+00,        +1.042159359683e+01,        +1.243275465664e+00
 1.18400000e+02,        +7.071067811865e+00,        +6.277922326969e+00,        +2.490621507244e-01,        +1.660048827967e+00,        -3.923476484122e+00,        +1.660315927174e+00,        -3.922979843784e+00,        +7.071067811865e+00,        +1.660048827967e+00,        -3.923476484122e+00,        +1.045966439434e+01,        +1.191200743903e+00,        -2.031308944523e+00,        -2.061281606336e+00,        +7.071067811865e+00,        +1.660315927174e+00,        -3.922979843784e+00,        -2.031308944523e+00,        -2.061281606336e+00,        +1.045985532634e+01,        +1.195138989642e+00
 1.20000000e+02,        +7.071067811865e+00,        +6.284964651833e+00,        +2.404632557074e-01,        +1.597299944488e+00,        -3.949472235318e+00,        +1.597578891481e+00,        -3.948959358190e+00,        +7.071067811865e+00,        +1.597299944488e+00,        -3.949472235318e+00,        +1.049644276300e+01,        +1.142055612065e+00,        -2.090145353123e+00,        -1.996852314607e+00,        +7.071067811865e+00,        +1.597578891481e+00,        -3.948959358190e+00,        -2.090145353123e+00,        -1.996852314607e+00,        +1.049666630854e+01,        +1.146062150712e+00
 1.21600000e+02,        +7.071067811865e+00,        +6.291734828559e+00,        +2.316405275970e-01,        +1.534116089341e+00,        -3.974453354762e+00,        +1.534407915695e+00,        -3.973923973806e+00,        +7.071067811865e+00,        +1.534116089341e+00,        -3.974453354762e+00,        +1.053175299220e+01,        +1.092013209872e+00,        -2.146978067297e+00,        -1.930852400870e+00,        +7.071067811865e+00,        +1.534407915695e+00,        -3.973923973806e+00,        -2.146978067297e+00,        -1.930852400870e+00,        +1.053201058896e+01,        +1.096087649175e+00
 1.23200000e+02,        +7.071067811865e+00,        +6.298226165836e+00,        +2.226016284887e-01,        +1.470514060669e+00,        -3.998411183754e+00,        +1.470819842180e+00,        -3.997865075751e+00,        +7.071067811865e+00,        +1.470514060669e+00,        -3.998411183754e+00,        +1.056558020135e+01,        +1.041116123068e+00,        -2.201771103845e+00,        -1.863341276805e+00,        +7.071067811865e+00,        +1.470819842180e+00,        -3.997865075751e+00,        -2.201771103845e+00,        -1.863341276805e+00,        +1.056587328245e+01,        +1.045258016931e+00
 1.24800000e+02,        +7.071067811865e+00,        +6.304432178690e+00,        +2.133544260634e-01,        +1.406510888278e+00,        -4.021337361414e+00,        +1.406831743522e+00,        -4.020774350123e+00,        +7.071067811865e+00,        +1.406510888278e+00,        -4.021337361414e+00,        +1.059791054472e+01,        +9.894067541788e-01,        -2.254490042327e+00,        -1.794378851801e+00,        +7.071067811865e+00,        +1.406831743522e+00,        -4.020774350123e+00,        -2.254490042327e+00,        -1.794378851801e+00,        +1.059824053644e+01,        +9.936156027324e-01
 1.26400000e+02,        +7.071067811865e+00,        +6.310346595667e+00,        +2.039069881136e-01,        +1.342123827362e+00,        -4.043223832786e+00,        +1.342460916102e+00,        -4.042643792075e+00,        +7.071067811865e+00,        +1.342123827362e+00,        -4.043223832786e+00,        +1.062873117526e+01,        +9.369273101380e-01,        -2.305102012013e+00,        -1.724025504211e+00,        +7.071067811865e+00,        +1.342460916102e+00,        -4.042643792075e+00,        -2.305102012013e+00,        -1.724025504211e+00,        +1.062909949469e+01,        +9.412025599158e-01
 1.28000000e+02,        +7.071067811865e+00,        +6.315963365851e+00,        +1.942675767801e-01,        +1.277370351910e+00,        -4.064062856781e+00,        +1.277724873318e+00,        -4.063465713724e+00,        +7.071067811865e+00,        +1.277370351910e+00,        -4.064062856781e+00,        +1.065803020906e+01,        +8.837197923437e-01,        -2.353575678992e+00,        -1.652342054159e+00,        +7.071067811865e+00,        +1.277724873318e+00,        -4.063465713724e+00,        -2.353575678992e+00,        -1.652342054159e+00,        +1.065843826179e+01,        +8.880608365611e-01
 1.29600000e+02,        +7.071067811865e+00,        +6.321276665713e+00,        +1.844446425054e-01,        +1.212268147783e+00,        -4.083847013928e+00,        +1.212641338506e+00,        -4.083232751860e+00,        +7.071067811865e+00,        +1.212268147783e+00,        -4.083847013928e+00,        +1.068579669052e+01,        +8.298259890711e-01,        -2.399881233533e+00,        -1.579389737858e+00,        +7.071067811865e+00,        +1.212641338506e+00,        -4.083232751860e+00,        -2.399881233533e+00,        -1.579389737858e+00,        +1.068624586834e+01,        +8.342321680072e-01
