        f (GHz),              E_elec[1] (J),               E_mag[1] (J),               E_cap[1] (J),               E_ind[1] (J),              E_elec[2] (J),               E_mag[2] (J),               E_cap[2] (J),               E_ind[2] (J),              E_elec[3] (J),               E_mag[3] (J),               E_cap[3] (J),               E_ind[3] (J)
 1.58400000e+02,        +7.586892421488e-13,        +7.257714605888e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.436131170373e-13,        +7.801038305257e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.427594762900e-13,        +7.800029967286e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.60000000e+02,        +7.593461515915e-13,        +7.249695408373e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.474490311759e-13,        +7.761915098527e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.465910292506e-13,        +7.760849572269e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.61600000e+02,        +7.599761829947e-13,        +7.241724330083e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.512381914790e-13,        +7.723994863816e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.503758298512e-13,        +7.722870385146e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.63200000e+02,        +7.605790177507e-13,        +7.233803269276e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.549806527435e-13,        +7.687281888889e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.541139343372e-13,        +7.686096712670e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.64800000e+02,        +7.611543571724e-13,        +7.225934127256e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.586764880099e-13,        +7.651780664812e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.578054171696e-13,        +7.650533065794e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.66400000e+02,        +7.617019227692e-13,        +7.218118806666e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.623257885074e-13,        +7.617495928920e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.614503709704e-13,        +7.616184202748e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.68000000e+02,        +7.622214565012e-13,        +7.210359209633e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.659286637860e-13,        +7.584432708718e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.650489066496e-13,        +7.583055173111e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.69600000e+02,        +7.627127210016e-13,        +7.202657235714e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.694852420427e-13,        +7.552596366484e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.686011537205e-13,        +7.551151362674e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.71200000e+02,        +7.631754997603e-13,        +7.195014779551e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.729956706399e-13,        +7.521992644218e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.721072607994e-13,        +7.520478538730e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.72800000e+02,        +7.636095972545e-13,        +7.187433728220e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.764601168156e-13,        +7.492627708310e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.755673962864e-13,        +7.491042895142e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.74400000e+02,        +7.640148390132e-13,        +7.179915958206e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.798787685699e-13,        +7.464508193006e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.789817492116e-13,        +7.462851096244e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.76000000e+02,        +7.643910716019e-13,        +7.172463332094e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.832518357042e-13,        +7.437641241329e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.823505302226e-13,        +7.435910318133e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.77600000e+02,        +7.647381625211e-13,        +7.165077695060e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.865795509694e-13,        +7.412034541569e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.856739726724e-13,        +7.410228285401e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.79200000e+02,        +7.650560000203e-13,        +7.157760871433e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.898621712532e-13,        +7.387696356817e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.889523337438e-13,        +7.385813300614e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.80800000e+02,        +7.653444928460e-13,        +7.150514661678e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.930999787021e-13,        +7.364635544170e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.921858955135e-13,        +7.362674263096e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.82400000e+02,        +7.656035699606e-13,        +7.143340840173e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.962932816270e-13,        +7.342861559275e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.953749658176e-13,        +7.340820672579e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.84000000e+02,        +7.658331802839e-13,        +7.136241154173e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.994424149820e-13,        +7.322384440652e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +8.985198787166e-13,        +7.320262612201e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.85600000e+02,        +7.660332925109e-13,        +7.129217324130e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.025477401347e-13,        +7.303214766708e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.016209942866e-13,        +7.301010703914e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.87200000e+02,        +7.662038950538e-13,        +7.122271045286e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.056096435587e-13,        +7.285363576503e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.046786973685e-13,        +7.283076027605e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.88800000e+02,        +7.663449961225e-13,        +7.115403990155e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.086285339767e-13,        +7.268842242865e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.076933947935e-13,        +7.266469992906e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.90400000e+02,        +7.664566239288e-13,        +7.108617811259e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.116048373562e-13,        +7.253662283649e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.106655104771e-13,        +7.251204149818e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.92000000e+02,        +7.665388269603e-13,        +7.101914143447e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.145389890164e-13,        +7.239835093598e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.135954776202e-13,        +7.237289920835e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.93600000e+02,        +7.665916742588e-13,        +7.095294605215e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.174314219357e-13,        +7.227371575828e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.164837270964e-13,        +7.224738233763e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.95200000e+02,        +7.666152556337e-13,        +7.088760798766e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.202825501719e-13,        +7.216281648872e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.193306709317e-13,        +7.213559031084e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.96800000e+02,        +7.666096817645e-13,        +7.082314308805e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.230927461389e-13,        +7.206573603085e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.221366796217e-13,        +7.203760629604e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.98400000e+02,        +7.665750841710e-13,        +7.075956700328e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.258623103660e-13,        +7.198253280202e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.249020519267e-13,        +7.195348903994e-13,        +0.000000000000e+00,        +0.000000000000e+00
 2.00000000e+02,        +7.665116150561e-13,        +7.069689515803e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.285914323556e-13,        +7.191323053280e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.276269757765e-13,        +7.188326271368e-13,        +0.000000000000e+00,        +0.000000000000e+00
 2.01600000e+02,        +7.664194470421e-13,        +7.063514272107e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.312801413430e-13,        +7.185780593144e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +9.303114791058e-13,        +7.182690462911e-13,        +0.000000000000e+00,        +0.000000000000e+00
