        f (GHz),              E_elec[1] (J),               E_mag[1] (J),               E_cap[1] (J),               E_ind[1] (J),              E_elec[2] (J),               E_mag[2] (J),               E_cap[2] (J),               E_ind[2] (J),              E_elec[3] (J),               E_mag[3] (J),               E_cap[3] (J),               E_ind[3] (J),              E_elec[4] (J),               E_mag[4] (J),               E_cap[4] (J),               E_ind[4] (J),              E_elec[5] (J),               E_mag[5] (J),               E_cap[5] (J),               E_ind[5] (J),              E_elec[6] (J),               E_mag[6] (J),               E_cap[6] (J),               E_ind[6] (J),              E_elec[7] (J),               E_mag[7] (J),               E_cap[7] (J),               E_ind[7] (J)
 1.12000000e+02,        +1.667779953565e-12,        +1.129400030384e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.316335871416e-12,        +2.446965067657e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.440940729743e-12,        +2.443298102575e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.888453699903e-12,        +2.520342949456e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.864494335238e-12,        +2.509769928550e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.462379904435e-12,        +2.481727906927e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.453832634686e-12,        +1.631535853398e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.13600000e+02,        +1.659165729483e-12,        +1.164523228240e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.324126646453e-12,        +2.446763568676e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.449010829828e-12,        +2.469736783122e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.956471947175e-12,        +2.609396088896e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.933028062592e-12,        +2.599272646424e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.475927394415e-12,        +2.508212994628e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.464280599303e-12,        +1.632563495617e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.15200000e+02,        +1.653616970579e-12,        +1.202119853009e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.330239642571e-12,        +2.448606089252e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.459571024432e-12,        +2.501229621184e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.037203675982e-12,        +2.708908618265e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.014517131253e-12,        +2.699459161661e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.491725091721e-12,        +2.539376166590e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.473650674802e-12,        +1.634536419735e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.16800000e+02,        +1.651437992666e-12,        +1.242550012910e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.335216644861e-12,        +2.452965875697e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.473151496049e-12,        +2.538293346382e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.132076727187e-12,        +2.819605286875e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.110378976811e-12,        +2.811049746401e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.510232870552e-12,        +2.575757028944e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.482253411783e-12,        +1.637788612315e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.18400000e+02,        +1.653004480123e-12,        +1.286246426710e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.339625259586e-12,        +2.460287357918e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.490313371685e-12,        +2.581438196631e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.242560049373e-12,        +2.942129823139e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.222055523656e-12,        +2.934662193590e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.531949099050e-12,        +2.617901635435e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.490424701951e-12,        +1.642652756424e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.20000000e+02,        +1.658784013608e-12,        +1.333734957507e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.344036392953e-12,        +2.470968678672e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.511628362227e-12,        +2.631136594737e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.370079904967e-12,        +3.076952430351e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.350919186048e-12,        +3.070709721046e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.557392160659e-12,        +2.666332790776e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.498515153222e-12,        +1.649452256350e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.21600000e+02,        +1.669364300045e-12,        +1.385662708451e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.349001725195e-12,        +2.485340555188e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.537651725386e-12,        +2.687777818487e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.515883295640e-12,        +3.224234879407e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.498122620438e-12,        +3.219253839331e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.587075877643e-12,        +2.721506203744e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.506880370097e-12,        +1.658491957981e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.23200000e+02,        +1.685492697463e-12,        +1.442837152411e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.355032034471e-12,        +2.503640212405e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.568887267341e-12,        +2.751604921960e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.680830738867e-12,        +3.383644608555e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.664374234053e-12,        +3.379803824483e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.621477689884e-12,        +2.783748090313e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.515872921602e-12,        +1.670046746947e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.24800000e+02,        +1.708132646434e-12,        +1.506281692900e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.362577839549e-12,        +2.525979921058e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.605744211015e-12,        +2.822632115406e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.865103695703e-12,        +3.554116309900e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.849625656388e-12,        +3.551062591701e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.660999336558e-12,        +2.853171289955e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.525836991603e-12,        +1.684347303221e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.26400000e+02,        +1.738545979627e-12,        +1.577316240487e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.372015002324e-12,        +2.552311717153e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.648488741029e-12,        +2.900546172017e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +3.067825776872e-12,        +3.733576307359e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +3.052673193124e-12,        +3.730637496340e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +2.705922338155e-12,        +2.929571761356e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +1.537107014475e-12,        +1.701562888385e-12,        +0.000000000000e+00,        +0.000000000000e+00
