 time            vref1           vref2           vref3           vref4           vout1           vout2           vout3           vout4          
 3.33950231e-11  7.36854925e-01  7.36838537e-01  7.36835909e-01  7.36858649e-01  7.30234104e-01  7.30254950e-01  7.30263411e-01  7.30264468e-01 
 3.38998960e-11  7.36850756e-01  7.36837488e-01  7.36845496e-01  7.36854780e-01  7.30224711e-01  7.30258726e-01  7.30256020e-01  7.30257640e-01 
 3.44923034e-11  7.36843682e-01  7.36840616e-01  7.36851305e-01  7.36849204e-01  7.30218147e-01  7.30264818e-01  7.30242978e-01  7.30254029e-01 
 3.51725062e-11  7.36836836e-01  7.36849390e-01  7.36849912e-01  7.36845063e-01  7.30217507e-01  7.30270506e-01  7.30226706e-01  7.30255766e-01 
 3.57211309e-11  7.36834830e-01  7.36858809e-01  7.36843789e-01  7.36845362e-01  7.30221359e-01  7.30271915e-01  7.30216151e-01  7.30260261e-01 
 3.61926668e-11  7.36836725e-01  7.36866921e-01  7.36836770e-01  7.36848833e-01  7.30226251e-01  7.30269989e-01  7.30210952e-01  7.30264842e-01 
 3.67119158e-11  7.36842764e-01  7.36873944e-01  7.36829798e-01  7.36855724e-01  7.30231191e-01  7.30264392e-01  7.30210350e-01  7.30268759e-01 
 3.72317852e-11  7.36851835e-01  7.36877533e-01  7.36826094e-01  7.36864456e-01  7.30233772e-01  7.30256005e-01  7.30214464e-01  7.30269841e-01 
 3.78838975e-11  7.36864236e-01  7.36876500e-01  7.36828518e-01  7.36874773e-01  7.30231723e-01  7.30244573e-01  7.30222935e-01  7.30265916e-01 
 3.86139751e-11  7.36874761e-01  7.36870151e-01  7.36840056e-01  7.36881636e-01  7.30222422e-01  7.30235348e-01  7.30231006e-01  7.30255795e-01 
 3.91286204e-11  7.36878243e-01  7.36864452e-01  7.36851959e-01  7.36882405e-01  7.30212616e-01  7.30232940e-01  7.30233122e-01  7.30246791e-01 
 3.96003921e-11  7.36877977e-01  7.36860177e-01  7.36863475e-01  7.36880103e-01  7.30202962e-01  7.30234107e-01  7.30231071e-01  7.30238859e-01 
 4.00934168e-11  7.36874607e-01  7.36858306e-01  7.36873751e-01  7.36875507e-01  7.30194122e-01  7.30238239e-01  7.30224414e-01  7.30232706e-01 
 4.06805682e-11  7.36868437e-01  7.36860826e-01  7.36880937e-01  7.36869453e-01  7.30187413e-01  7.30245066e-01  7.30211640e-01  7.30229936e-01 
 4.13418649e-11  7.36862222e-01  7.36869364e-01  7.36881069e-01  7.36865342e-01  7.30185797e-01  7.30251613e-01  7.30194833e-01  7.30232520e-01 
 4.19462739e-11  7.36859976e-01  7.36880226e-01  7.36874934e-01  7.36866212e-01  7.30188766e-01  7.30253665e-01  7.30181549e-01  7.30238086e-01 
 4.24171568e-11  7.36861501e-01  7.36888823e-01  7.36867709e-01  7.36870384e-01  7.30192590e-01  7.30251588e-01  7.30174807e-01  7.30242817e-01 
 4.28899130e-11  7.36866027e-01  7.36895736e-01  7.36860426e-01  7.36877194e-01  7.30196112e-01  7.30246048e-01  7.30172356e-01  7.30246271e-01 
 4.33908721e-11  7.36873244e-01  7.36899622e-01  7.36855011e-01  7.36885874e-01  7.30197922e-01  7.30237083e-01  7.30174309e-01  7.30246970e-01 
 4.40025128e-11  7.36883008e-01  7.36898616e-01  7.36854161e-01  7.36895530e-01  7.30195908e-01  7.30224428e-01  7.30180637e-01  7.30242526e-01 
 4.46888396e-11  7.36891588e-01  7.36891386e-01  7.36861387e-01  7.36901525e-01  7.30187964e-01  7.30212669e-01  7.30188145e-01  7.30231705e-01 
 4.52692851e-11  7.36894876e-01  7.36882884e-01  7.36872622e-01  7.36901195e-01  7.30177936e-01  7.30207612e-01  7.30191404e-01  7.30220236e-01 
 4.57466588e-11  7.36894319e-01  7.36876403e-01  7.36883411e-01  7.36897283e-01  7.30169018e-01  7.30207622e-01  7.30190295e-01  7.30211289e-01 
 4.62673960e-11  7.36890829e-01  7.36872112e-01  7.36894131e-01  7.36890498e-01  7.30160611e-01  7.30211480e-01  7.30184362e-01  7.30204304e-01 
 4.67824979e-11  7.36885765e-01  7.36872165e-01  7.36901367e-01  7.36883245e-01  7.30155158e-01  7.30217743e-01  7.30174084e-01  7.30201724e-01 
 4.74423937e-11  7.36879964e-01  7.36878770e-01  7.36903605e-01  7.36876989e-01  7.30153189e-01  7.30225634e-01  7.30157467e-01  7.30204689e-01 
 4.81928962e-11  7.36877821e-01  7.36891909e-01  7.36897498e-01  7.36877476e-01  7.30155935e-01  7.30229464e-01  7.30139990e-01  7.30212686e-01 
 4.87116129e-11  7.36879992e-01  7.36901819e-01  7.36889832e-01  7.36882877e-01  7.30159124e-01  7.30227165e-01  7.30131641e-01  7.30218361e-01 
 4.91819298e-11  7.36884432e-01  7.36909220e-01  7.36882491e-01  7.36890638e-01  7.30161302e-01  7.30221224e-01  7.30128001e-01  7.30221713e-01 
 4.96713703e-11  7.36890629e-01  7.36913543e-01  7.36876589e-01  7.36899978e-01  7.30161524e-01  7.30211672e-01  7.30128243e-01  7.30221797e-01 
 5.02559552e-11  7.36898078e-01  7.36912949e-01  7.36874145e-01  7.36909746e-01  7.30158092e-01  7.30197975e-01  7.30132223e-01  7.30216259e-01 
 5.09239167e-11  7.36903804e-01  7.36905507e-01  7.36878420e-01  7.36915318e-01  7.30149584e-01  7.30183838e-01  7.30137741e-01  7.30203601e-01 
 5.15393258e-11  7.36904868e-01  7.36895145e-01  7.36887652e-01  7.36913582e-01  7.30139240e-01  7.30175940e-01  7.30140236e-01  7.30189251e-01 
 5.20113692e-11  7.36902783e-01  7.36887163e-01  7.36896514e-01  7.36907998e-01  7.30131260e-01  7.30174363e-01  7.30138893e-01  7.30178919e-01 
 5.24916208e-11  7.36898687e-01  7.36881163e-01  7.36905131e-01  7.36899756e-01  7.30124690e-01  7.30176648e-01  7.30133862e-01  7.30171229e-01 
 5.29920766e-11  7.36893600e-01  7.36878871e-01  7.36911725e-01  7.36890565e-01  7.30120650e-01  7.30181966e-01  7.30124853e-01  7.30167846e-01 
 5.36106004e-11  7.36888606e-01  7.36882512e-01  7.36914561e-01  7.36882141e-01  7.30119930e-01  7.30189467e-01  7.30110370e-01  7.30170303e-01 
 5.43115623e-11  7.36887278e-01  7.36893289e-01  7.36910681e-01  7.36880255e-01  7.30122986e-01  7.30194533e-01  7.30093943e-01  7.30178469e-01 
 5.48643782e-11  7.36890113e-01  7.36904016e-01  7.36903854e-01  7.36885212e-01  7.30126214e-01  7.30193584e-01  7.30083883e-01  7.30185558e-01 
 5.53366562e-11  7.36894894e-01  7.36912454e-01  7.36897096e-01  7.36893267e-01  7.30127911e-01  7.30188576e-01  7.30078665e-01  7.30189819e-01 
 5.58377132e-11  7.36901178e-01  7.36918479e-01  7.36890989e-01  7.36903802e-01  7.30127263e-01  7.30179238e-01  7.30076850e-01  7.30190550e-01 
 5.63732034e-11  7.36907435e-01  7.36919993e-01  7.36887532e-01  7.36914414e-01  7.30123039e-01  7.30166148e-01  7.30078176e-01  7.30185714e-01 
 5.70252730e-11  7.36911764e-01  7.36914775e-01  7.36888866e-01  7.36922135e-01  7.30113548e-01  7.30149860e-01  7.30081383e-01  7.30172568e-01 
 5.77129681e-11  7.36910806e-01  7.36903659e-01  7.36895787e-01  7.36921314e-01  7.30101073e-01  7.30137262e-01  7.30082771e-01  7.30154102e-01 
 5.81980184e-11  7.36906822e-01  7.36894634e-01  7.36902621e-01  7.36915203e-01  7.30092654e-01  7.30132929e-01  7.30080916e-01  7.30141162e-01 
 5.86546053e-11  7.36901344e-01  7.36887277e-01  7.36909001e-01  7.36906299e-01  7.30086607e-01  7.30132639e-01  7.30076326e-01  7.30131414e-01 
 5.91365206e-11  7.36895130e-01  7.36882519e-01  7.36914121e-01  7.36895600e-01  7.30083252e-01  7.30135636e-01  7.30068515e-01  7.30125607e-01 
 5.97251689e-11  7.36889305e-01  7.36882385e-01  7.36916506e-01  7.36884473e-01  7.30083481e-01  7.30141470e-01  7.30056160e-01  7.30125554e-01 
 6.03870727e-11  7.36887473e-01  7.36889155e-01  7.36913769e-01  7.36878758e-01  7.30087496e-01  7.30146752e-01  7.30041735e-01  7.30132151e-01 
 6.09965749e-11  7.36890854e-01  7.36899350e-01  7.36907545e-01  7.36881545e-01  7.30091905e-01  7.30147256e-01  7.30030923e-01  7.30140206e-01 
 6.14688314e-11  7.36896294e-01  7.36907753e-01  7.36901702e-01  7.36888667e-01  7.30094009e-01  7.30143654e-01  7.30025425e-01  7.30145200e-01 
 6.19898074e-11  7.36903639e-01  7.36915061e-01  7.36896080e-01  7.36899698e-01  7.30093333e-01  7.30135408e-01  7.30022665e-01  7.30146959e-01 
 6.24881313e-11  7.36910160e-01  7.36918409e-01  7.36892922e-01  7.36910770e-01  7.30089017e-01  7.30124119e-01  7.30022654e-01  7.30143448e-01 
 6.31386589e-11  7.36914971e-01  7.36916267e-01  7.36893251e-01  7.36921170e-01  7.30078566e-01  7.30107549e-01  7.30024142e-01  7.30130941e-01 
 6.38483715e-11  7.36913549e-01  7.36907262e-01  7.36898469e-01  7.36923230e-01  7.30064145e-01  7.30092249e-01  7.30024158e-01  7.30110657e-01 
 6.43727347e-11  7.36908220e-01  7.36898340e-01  7.36904117e-01  7.36917973e-01  7.30053991e-01  7.30085142e-01  7.30021447e-01  7.30094640e-01 
 6.48394349e-11  7.36901397e-01  7.36890757e-01  7.36909024e-01  7.36909255e-01  7.30047219e-01  7.30082548e-01  7.30016470e-01  7.30082360e-01 
