 time            v1              v2              v3              v4             
 5.62800000e-12 -8.53426450e-02  9.01039202e-02  7.61840806e-01  2.56479511e-01 
 5.72800000e-12 -1.01538351e-03  6.00370092e-02  6.90662247e-01  2.42483751e-01 
 5.82800000e-12  8.83711143e-02  3.43521208e-02  6.16887898e-01  2.30224378e-01 
 5.92800000e-12  1.81914227e-01  1.33074640e-02  5.41255300e-01  2.19664445e-01 
 6.02800000e-12  2.78669358e-01 -2.87591517e-03  4.64512325e-01  2.10763475e-01 
 6.12800000e-12  3.77659479e-01 -1.40186064e-02  3.87409799e-01  2.03479039e-01 
 6.22800000e-12  4.77884991e-01 -1.99868449e-02  3.10694352e-01  1.97767952e-01 
 6.32800000e-12  5.78333819e-01 -2.06959461e-02  2.35101522e-01  1.93587107e-01 
 6.42800000e-12  6.77991635e-01 -1.61130726e-02  1.61349128e-01  1.90893951e-01 
 6.52800000e-12  7.75852097e-01 -6.25926131e-03  9.01309389e-02  1.89646641e-01 
 6.62800000e-12  8.70927014e-01  8.78933746e-03  2.21106651e-02  1.89803914e-01 
 6.72800000e-12  9.62256323e-01  2.89010401e-02 -4.20837125e-02  1.91324715e-01 
 6.82800000e-12  1.04891778e+00  5.38890366e-02 -1.01865238e-01  1.94167618e-01 
 6.92800000e-12  1.13003629e+00  8.35126165e-02 -1.56692882e-01  1.98290098e-01 
 7.02800000e-12  1.20479271e+00  1.17479188e-01 -2.06076021e-01  2.03647690e-01 
 7.12800000e-12  1.27243216e+00  1.55447050e-01 -2.49578463e-01  2.10193099e-01 
 7.22800000e-12  1.33227162e+00  1.97028867e-01 -2.86821993e-01  2.17875283e-01 
 7.32800000e-12  1.38370682e+00  2.41795779e-01 -3.17489427e-01  2.26638575e-01 
 7.42800000e-12  1.42621838e+00  2.89282082e-01 -3.41327123e-01  2.36421861e-01 
 7.52800000e-12  1.45937703e+00  3.38990397e-01 -3.58146955e-01  2.47157873e-01 
 7.62800000e-12  1.48284791e+00  3.90397249e-01 -3.67827720e-01  2.58772604e-01 
 7.72800000e-12  1.49639403e+00  4.42958968e-01 -3.70315957e-01  2.71184885e-01 
 7.82800000e-12  1.49987860e+00  4.96117833e-01 -3.65626188e-01  2.84306137e-01 
 7.92800000e-12  1.49326643e+00  5.49308361e-01 -3.53840551e-01  2.98040314e-01 
