 time            v1              v2              v3             
 1.39280000e-11  1.49087249e+00  3.46584346e-01  3.46737953e-01 
 1.40280000e-11  1.49939860e+00  4.14084437e-01  4.14229864e-01 
 1.41280000e-11  1.49783282e+00  4.81162315e-01  4.81298702e-01 
 1.42280000e-11  1.48619096e+00  5.47128404e-01  5.47255013e-01 
 1.43280000e-11  1.46459057e+00  6.11306524e-01  6.11422720e-01 
 1.44280000e-11  1.43324978e+00  6.73041007e-01  6.73146245e-01 
 1.45280000e-11  1.39248507e+00  7.31703527e-01  7.31797330e-01 
 1.46280000e-11  1.34270807e+00  7.86699561e-01  7.86781508e-01 
 1.47280000e-11  1.28442144e+00  8.37474422e-01  8.37544129e-01 
 1.48280000e-11  1.21821374e+00  8.83518799e-01  8.83575911e-01 
 1.49280000e-11  1.14475355e+00  9.24373755e-01  9.24417932e-01 
 1.50280000e-11  1.06478266e+00  9.59635125e-01  9.59666040e-01 
 1.51280000e-11  9.79108608e-01  9.88957306e-01  9.88974639e-01 
 1.52280000e-11  8.88596537e-01  1.01205638e+00  1.01205982e+00 
 1.53280000e-11  7.94160431e-01  1.02871255e+00  1.02870182e+00 
 1.54280000e-11  6.96753904e-01  1.03877196e+00  1.03874679e+00 
 1.55280000e-11  5.97360561e-01  1.04214773e+00  1.04210789e+00 
 1.56280000e-11  4.96984076e-01  1.03882039e+00  1.03876572e+00 
 1.57280000e-11  3.96638045e-01  1.02883758e+00  1.02876798e+00 
 1.58280000e-11  2.97335759e-01  1.01231318e+00  1.01222865e+00 
 1.59280000e-11  2.00079970e-01  9.89425710e-01  9.89326356e-01 
 1.60280000e-11  1.05852763e-01  9.60416200e-01  9.60302269e-01 
 1.61280000e-11  1.56056422e-02  9.25585459e-01  9.25457345e-01 
 1.62280000e-11 -6.97500813e-02  8.85290815e-01  8.85149081e-01 
 1.63280000e-11 -1.49352488e-01  8.39942363e-01  8.39787753e-01 
 1.64280000e-11 -2.22397755e-01  7.89998750e-01  7.89832202e-01 
 1.65280000e-11 -2.88148274e-01  7.35962561e-01  7.35785212e-01 
 1.66280000e-11 -3.45940099e-01  6.78375333e-01  6.78188519e-01 
 1.67280000e-11 -3.95189649e-01  6.17812249e-01  6.17617505e-01 
 1.68280000e-11 -4.35399604e-01  5.54876564e-01  5.54675612e-01 
 1.69280000e-11 -4.66163927e-01  4.90193808e-01  4.89988542e-01 
 1.70280000e-11 -4.87171958e-01  4.24405805e-01  4.24198276e-01 
 1.71280000e-11 -4.98211561e-01  3.58164579e-01  3.57956966e-01 
 1.72280000e-11 -4.99171257e-01  2.92126172e-01  2.91920754e-01 
 1.73280000e-11 -4.90041356e-01  2.26944436e-01  2.26743557e-01 
